,!Max Actual BP,!Mean Actual BP,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis,EGM Mean,EGM STD,EGM Skewness,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness,!BP,Per_similarity
801,0.001,-0.0005350000000000001,1.0,11.464142908995829,55.469001977435354,0.0,3.313241888037961,0.11765008040349398,0.17814193013682875,2.123984298811942,-1.4554317433138644,0.40004209197463386,0.27025385852661216,-0.553400061984359,0.5881551950887873,0.5929859738754484,0.1573632991667695,-1.408836706682985,149.77868602031683,-0.02276116155663166
802,0.001,-0.0005266666666666667,2.0,11.464142908995829,55.469001977435354,0.0,-0.013991705423989309,0.17199834228767186,0.210185024941869,1.2219883179859627,-1.4554317433138644,0.40004209197463386,0.27025385852661216,-0.553400061984359,0.5881551950887873,0.5929859738754484,0.1573632991667695,-1.408836706682985,149.77868602031683,-0.02276116155663166
803,0.001,-0.0005441666666666666,2.0,11.464142908995829,55.469001977435354,0.0,-0.006487340392356877,0.17310173418691072,0.2095120820504579,1.2241715658241596,-1.4554317433138644,0.40004209197463386,0.27025385852661216,-0.553400061984359,0.5881551950887873,0.5929859738754484,0.1573632991667695,-1.408836706682985,149.77868602031683,-0.02276116155663166
804,0.001,-0.0005291666666666667,1.0,11.464142908995829,55.469001977435354,0.0,1.4038540970143911,0.13024848963706576,0.17428017223804082,1.6714396195276864,-1.4554317433138644,0.40004209197463386,0.27025385852661216,-0.553400061984359,0.5881551950887873,0.5929859738754484,0.1573632991667695,-1.408836706682985,149.77868602031683,-0.02276116155663166
805,0.001,-0.0005366666666666666,2.0,11.464142908995829,55.469001977435354,0.0,0.733242979001834,0.13946906450560154,0.1602656871973498,1.3915498032721043,-1.4554317433138644,0.40004209197463386,0.27025385852661216,-0.553400061984359,0.5881551950887873,0.5929859738754484,0.1573632991667695,-1.408836706682985,149.77868602031683,-0.02276116155663166
806,0.001,-0.0005341666666666667,2.0,26.913847985704347,68.7447682264656,0.0,0.7186095086560593,0.13869655717673965,0.1607754153355125,1.386988775628342,-0.8419142626817755,0.5360619656096564,0.3017167306497562,-0.8169513404415489,0.382378133534095,0.6249821956645489,0.182761849980428,-1.1224962861229781,133.03212293133646,0.990811443753639
807,0.001,-0.0005241666666666667,1.0,54.2120714018405,68.63184709654621,0.0,0.7164884360837527,0.09761151949198223,0.112867000378452,1.4581195077412397,-0.8419142626817755,0.5329507265321047,0.2999656030880735,-0.8169513404415486,0.3823781335340932,0.6730515969601326,0.18170112221755053,-1.1224962861229772,132.8136024820785,0.8802526458335099
808,0.001,-0.0005175,2.0,54.2120714018405,68.63184709654621,0.0,0.30891857032057635,0.12731944732187234,0.14481748088515264,1.2864885214959918,-0.8419142626817755,0.5329507265321047,0.2999656030880735,-0.8169513404415486,0.3823781335340932,0.6730515969601326,0.18170112221755053,-1.1224962861229772,132.8136024820785,0.8802526458335099
809,0.001,-0.0005083333333333334,2.0,61.56917783793965,72.89215878359533,0.0,0.31085544270846066,0.1269779821539846,0.14493867992362214,1.287889886886738,-0.47479462213449564,0.6195031879869741,0.2944694619244638,-0.7012148439823722,-0.9329375813173524,0.6202761113713545,0.22576319203182296,-0.42957030700110843,[131.21673216],0.9842575923468213
810,0.001,-0.0005183333333333334,1.0,66.74815729216256,72.89215878359533,0.0,1.5245075837580506,0.11550891347425422,0.15034526890661812,1.6821064256551874,-0.47479462213449564,0.6195031879869741,0.2944694619244638,-0.7012148439823722,-0.9329375813173524,0.6317564408106695,0.22576319203182296,-0.42957030700110843,[131.21673216],0.9077749363860379
811,0.001,-0.0005208333333333333,2.0,69.42129569446446,64.06898070607866,0.0,0.2619090647653506,0.16100732546154556,0.19727734241833253,1.2857347076352252,-1.4669896001706721,0.4082943051065124,0.2982033630713706,-0.3614068708919152,-1.237558382021384,0.6495846550198616,0.14726230010177738,-0.42712682015649217,[105.2420001],0.7462609131757192
812,0.001,-0.00052,2.0,71.16573837494988,63.18332926696838,0.0,0.24803729333051594,0.16071619977505172,0.1976626689769934,1.2788138330250987,-1.5440407919330352,0.3061177211504264,0.2340341862238917,-0.20360211435057934,-1.1329980064313423,0.505883913307808,0.13819096303522876,-0.5016344588197048,[103.78719735],0.9941622387911975
813,0.001,-0.0005325,1.0,71.45921541854364,63.18332926696838,0.0,1.555026186218238,0.13397387428127644,0.1920459218653344,1.7306728691055933,-1.5440407919330352,0.3061177211504264,0.2340341862238917,-0.20360211435057934,-1.1329980064313423,0.5615218375964355,0.13819096303522876,-0.5016344588197048,[103.78719735],0.8602873025785149
814,0.001,-0.0005425,2.0,71.45921541854364,63.18332926696838,0.0,-0.14483063348878789,0.1855633102606922,0.22974229736381827,1.1916402393862247,-1.5440407919330352,0.3061177211504264,0.2340341862238917,-0.20360211435057934,-1.1329980064313423,0.5615218375964355,0.13819096303522876,-0.5016344588197048,[103.78719735],0.8602873025785149
815,0.001,-0.0005466666666666665,2.0,67.60717165223222,69.7082855098269,0.0,-0.16715467008297935,0.18487204573049318,0.2307121594784089,1.1809590788377686,1.204179310402611,0.7454782501938025,0.2417969708797891,-1.3936007757410573,0.8328800608198321,0.684841941176821,0.21570719406382377,-1.286313031147853,[156.85660814],1.0
816,0.001,-0.0005391666666666666,1.0,63.80138893306314,66.09202757367761,0.0,0.7653261582417934,0.15631423947145937,0.22056002616272827,1.5254130927299154,2.1070421160209243,0.7689486890500309,0.21816281215123282,-1.5220472832995557,0.4568090457275136,0.7424145719347441,0.1858861221659199,-1.1534615388940923,[148.71935516],0.48270431343546694
817,0.001,-0.0005475,2.0,63.95352294023939,29.320972059757224,0.0,-0.2169083150840989,0.18947933614939746,0.23391849857072025,1.1649860789875466,-1.4263989457494828,0.4946543193918666,0.32851812290042876,-0.4226367041213936,-0.776882197031044,0.7488025450602601,0.22759394459378185,-0.8038630262636687,[35.40800058],0.6662180040668866
818,0.001,-0.0005525,2.0,65.73510360496155,29.51795992055876,0.0,-0.23345151283289134,0.18756110483382,0.23539301690679001,1.1594354332835657,-1.4263989457494823,0.4955480045276933,0.32911165206165505,-0.4226367041213944,-0.7768821970310418,0.666585045408547,0.22800513543416015,-0.8038630262636708,35.42448008629463,1.0
