,!Max Actual BP,!Mean Actual BP,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis,EGM Mean,EGM STD,EGM Skewness,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness,!BP,Per_similarity
0,1.266,0.18909416666666667,1.0,0.0,0.0,0.0,2.835909901285442,0.0066571508362769215,0.014386892407529547,2.063078686231357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,1.266,0.3479566666666667,1.0,0.0,0.0,0.0,1.4449016790974847,0.009502028899277834,0.014369921440346033,1.548339161533636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,1.266,0.48837916666666664,1.0,0.0,0.0,0.0,0.39194015132416826,0.013135669010207077,0.014124342971460917,0.9755841920667777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,1.266,0.6173058333333333,1.0,0.0,0.0,0.0,0.40485770052386805,0.01733445173198193,0.012841516444673838,0.5730870859586679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4,1.266,0.7495575,2.0,0.0,0.0,0.0,1.8798253650325671,0.03177269318693316,0.026591241694235702,1.6327465587847991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5,1.266,0.9118566666666668,1.0,37.080922240896655,56.51232474573449,0.0,2.759660624986603,0.031134703986343014,0.025573222599877838,1.9843238159938463,0.7716593506865164,0.8177191493114216,0.14951086170266986,-1.3078976425373638,0.7716593506865164,0.7030355495420333,0.14951086170266986,-1.3078976425373638,[142.84670848],
6,1.031,0.8747550000000001,1.0,37.080922240896655,56.51232474573449,0.0,2.771442505583659,0.03198097468537702,0.025239577150707408,1.9966161819845607,0.7716593506865164,0.8177191493114216,0.14951086170266986,-1.3078976425373638,0.7716593506865164,0.7030355495420333,0.14951086170266986,-1.3078976425373638,[142.84670848],
7,1.024,0.8551633333333335,1.0,37.080922240896655,56.51232474573449,0.0,2.746979367700737,0.03326904736083625,0.024810057451962367,1.972622719901269,0.7716593506865164,0.8177191493114216,0.14951086170266986,-1.3078976425373638,0.7716593506865164,0.7030355495420333,0.14951086170266986,-1.3078976425373638,[142.84670848],
8,1.024,0.8452533333333333,1.0,37.080922240896655,56.51232474573449,0.0,2.6334482115365914,0.03345043004793582,0.024888670149027955,1.9420932808006561,0.7716593506865164,0.8177191493114216,0.14951086170266986,-1.3078976425373638,0.7716593506865164,0.7030355495420333,0.14951086170266986,-1.3078976425373638,[142.84670848],
9,1.024,0.8408141666666666,0.0,37.080922240896655,56.51232474573449,0.0,12.561291363915984,0.03295296214466099,0.03064349498192092,3.371944212072708,0.7716593506865164,0.8177191493114216,0.14951086170266986,-1.3078976425373638,0.7716593506865164,0.7030355495420333,0.14951086170266986,-1.3078976425373638,[142.84670848],
