,!Max Actual BP,!Mean Actual BP,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis,EGM Mean,EGM STD,EGM Skewness,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness,!BP,Per_similarity
0,0.744,0.11865750000000001,1.0,0.0,0.0,0.0,4.218048263517972,0.011312222640463892,0.026832255665995428,2.3776342519269424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,0.744,0.22260916666666664,1.0,0.0,0.0,0.0,3.805520927251732,0.013874693206167407,0.026372968789666988,2.2282917145755534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,1.131,0.3818916666666667,1.0,0.0,0.0,0.0,3.884819692082985,0.015384095188781676,0.02579030028487628,2.2331865258860066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,1.131,0.5212125,1.0,0.0,0.0,0.0,22.41691567012688,0.03817430002576932,0.08848005288426994,4.5650560888442575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4,1.131,0.6440016666666666,1.0,0.0,0.0,0.0,4.145231956970401,0.2726508111910286,0.5875591551215619,2.3590284383363103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5,1.131,0.7528750000000001,1.0,0.0,0.0,0.0,4.136195304544299,0.26649491302032835,0.589801424966814,2.3589004733895345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
6,1.161,0.7747149999999999,1.0,0.0,0.0,0.0,4.134523751590005,0.26537241241332954,0.5902279109781706,2.3588679562931034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
7,1.161,0.82993,1.0,49.63270803475812,66.97249791790097,0.0,4.137746596490191,0.2660627584338812,0.5899244678214801,2.3596670888479574,-1.1845056187239564,0.6793943846384484,0.23665513650295622,-0.34055433503884397,-1.1845056187239564,0.6221102153866023,0.23665513650295622,-0.34055433503884397,165.26829966254593,
8,1.161,0.7968958333333334,2.0,49.63270803475812,66.97249791790097,0.0,2.0805085391710296,0.3763667673266443,0.6053307276379466,1.7643104527770326,-1.1845056187239564,0.6793943846384484,0.23665513650295622,-0.34055433503884397,-1.1845056187239564,0.6221102153866023,0.23665513650295622,-0.34055433503884397,165.26829966254593,
9,1.161,0.7720491666666667,1.0,49.63270803475812,66.97249791790097,0.0,3.5479732997488957,0.14501329723730236,0.2713223872355159,2.193964853793624,-1.1845056187239564,0.6793943846384484,0.23665513650295622,-0.34055433503884397,-1.1845056187239564,0.6221102153866023,0.23665513650295622,-0.34055433503884397,165.26829966254593,
