,!Max Actual BP,!Mean Actual BP,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis,EGM Mean,EGM STD,EGM Skewness,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness,!BP,Per_similarity
0,0.728,0.11794666666666667,1.0,0.0,0.0,0.0,3.473336562995919,0.007802945655932691,0.01738143823886965,2.20553717536046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,0.728,0.23111250000000003,1.0,0.0,0.0,0.0,1.4367564095463994,0.011768597262307954,0.017696206711890587,1.5175120637672663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,0.728,0.34427916666666664,1.0,0.0,0.0,0.0,1.4582756325763082,0.01429436485124337,0.016787777651381057,1.3929871047273141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,0.985,0.465825,1.0,0.0,0.0,0.0,3.6968828014801085,0.02274002762071511,0.023777701612777983,1.8366792388611348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4,1.358,0.6659191666666667,2.0,67.9327735948005,78.54162408243786,0.0,1.8124361800783353,0.034590100027827156,0.03196309777249998,1.639248878493119,1.8095805472455817,0.7416071169626031,0.291979806754925,-1.768808203050849,1.8095805472455817,0.7100674790058324,0.291979806754925,-1.768808203050849,[117.23306441],
5,1.358,0.8647250000000001,1.0,60.356407987069375,,0.0,3.2062482987789584,0.03291949885729857,0.030376544007236456,2.1129332536840657,1.49965839877746,0.7681867474267593,0.12227120845687668,-1.4712900487663643,1.49965839877746,0.6735315122024164,0.12227120845687668,-1.4712900487663643,[nan],0.9660394862961675
6,1.358,0.9180741666666665,1.0,56.94991669637285,,0.0,3.107095246167206,0.032275862936548244,0.030732265093014806,2.0831527918188777,-1.1666859944213468,0.4912786054085134,0.31423123822687077,-0.7673905085741415,0.6395459455812853,0.6406462560356918,0.11391601179148399,-1.2410238258614565,[nan],0.9660394862961675
7,1.358,0.9658908333333333,1.0,55.44749711942862,4.89380523065647,0.0,3.224469343180991,0.03347591949332601,0.030153573379158017,2.1161738870163873,-1.7097959293185478,0.2745180586410309,0.31536413012279224,0.3718668961226097,-0.2583429586336625,0.6179910999072037,0.11345654351380559,-0.7366314017860779,[0.25694601],0.9660394862961675
8,1.358,1.0012258333333333,1.0,54.25400781473266,,0.0,2.8082846982010565,0.03333215564509787,0.03108125386172666,2.0373429010040667,2.1563064608279925,0.07906814273990634,0.18437894832332893,1.987873976937,-1.4293498343067887,0.5661491051046862,0.08565183170987993,-0.3087804077217208,[nan],0.9660394862961675
9,1.358,1.0182891666666665,1.0,,59.856520702977186,0.0,1.9147120937255053,0.019063380261975307,0.0039941516441262745,1.0083236487024425,-1.360216401411143,0.4559383072208062,0.3508802151905802,-0.02191711307055578,-1.5087214322215152,0.6137226279643619,0.23197953776483987,0.06853895747957676,[181.38025059],0.9660394862961675
10,1.326,0.9508933333333335,0.0,,68.8806203938946,0.0,8.114749379798205,0.01943059063141464,0.005938802686734319,2.457456648536665,-1.3837061964738069,0.5138189068228688,0.3623212783830534,-0.40619019957484936,-1.1225785161692876,0.6735700147136333,0.1843901150199985,-0.38987946295834836,[105.91270858],0.4241835805099776
11,1.107,0.87896,0.0,,6.972553439656434,0.0,6.084160523204435,0.02117469801268638,0.006478339276497683,2.0303754611763227,-1.372974972782953,0.40159912994420643,0.33620253594710253,0.1923634211675729,-1.2983204940140805,0.6689863792897619,0.2586993127675143,-0.027770430453822065,[0.26149237],0.21039603791265993
