Beats per Second (1000ms),BPM,EGM Mean RV,EGM STD RV,EGM Skewness RV,EGM Kurtosis RV,R-R Interval RV,BP,Max Actual BP,Mean Actual BP,Per Mean,Per STD,Per Skewness,Per Kurtosis,Current Perfusion Grad,Decision,Quality of prfusion,Perfusion Amplitude
0,171.91977077363896,1.2799906488625306,0.9503236008270276,0.6191217484973929,-0.9567585100359923,349,66.10964688639245,154.8,83.86361031518624,80.08900610639753,1.4110498227589234,0.0,-3.0,1.3004925546791306,1,,0.6401900751365872
0,184.04907975460122,0.8992394743534505,0.8786950218207528,1.0879201445140474,0.13425546823339474,326,122.97582884780375,162.20000000000002,126.19907975460121,81.48739513480575,2.132881300527263,0.0,-3.0,10.740310592432907,1,,5.823198410223611
0,183.4862385321101,0.6968944257970222,0.5167602816827013,0.7195133636426417,-1.0008106654511455,327,123.78906297348094,97.8,79.64220183486239,84.86351050773482,2.7658885193515834,0.0,-3.0,11.416314305768827,1,,6.158916889658926
0,200.0,0.9732780361974139,0.6616775117589032,0.2462369214072712,-1.4168583716210024,300,119.17299294263348,132.9,76.02066666666667,86.36034135974906,2.669220869937466,0.0,-3.0,8.754087331537447,1,,3.6649084314152987
0,152.67175572519085,0.7561911174154734,0.6531196531820591,0.5041736608526167,-1.2281428568793236,393,124.47443042689927,156.1,120.16717557251907,84.09756046649633,2.288240194740218,0.0,-3.0,12.161316012331731,1,,6.400380651496164
0,189.873417721519,1.0278134244998323,0.437532764487201,0.5512536557167935,-0.5156535224300938,316,124.44211748008283,111.7,94.66867088607596,84.24892497038464,2.205664419775706,0.0,-3.0,12.120770731792723,1,,6.335438658377541
0,184.6153846153846,0.7645330641730236,0.6187036266110388,0.6167650403386576,-1.114992129075388,325,124.67919473914776,99.1,81.99292307692306,83.45976412009752,2.1743432635282915,0.0,-3.0,12.435275905466456,1,,5.226082017348418
0,178.57142857142858,0.9820141123503063,0.4083969198513055,0.6330887262412647,-0.9020646348089354,336,114.27996355280058,156.1,115.56220238095239,80.01244460353507,2.9422916779731545,0.0,-3.0,7.224577636578075,1,,3.7649266955017993
0,180.18018018018017,0.6671899168897227,0.49253734270453575,0.5781647660385552,-1.2824790618824495,333,124.24709792733753,123.4,93.06426426426427,77.49299494124648,4.184232803408173,0.0,-3.0,11.889228571489015,1,,6.252940429781091
0,182.370820668693,0.7267391319388374,0.6764546601146836,0.7310011411954694,-0.8610530559826342,329,122.94566076980907,90.60000000000001,70.2322188449848,75.81843703839816,4.819159695958828,0.0,-3.0,10.718142998038555,1,,5.867678194492342
0,182.9268292682927,1.3153408411600755,0.6161621360882101,-0.32777787537802283,-1.2715548322608774,328,119.738268308916,150.8,92.36646341463415,72.43814499121011,1.0829292981028347,0.0,-3.0,8.982086282552638,1,,2.79773208716459
0,174.9271137026239,0.7637321662343624,0.6895997421710717,0.6556697820987402,-0.9955683011967236,343,121.41311951500177,171.8,132.53206997084547,71.40742349102224,3.3647244189547343,0.0,-3.0,9.768158623802575,1,,5.233594992175327
0,133.33333333333334,0.8748073271880938,0.6434665698488454,0.11335214231196242,-1.6844512082998033,450,123.58239082010823,133.6,84.45533333333331,73.60446625289153,2.7309814379551907,0.0,-3.0,11.228002067243155,1,,6.491383948881662
0,109.2896174863388,0.7948706128349154,0.5357604420449398,0.30694652077118106,-1.1975928820650426,549,125.8301584740448,170.6,114.06411657559198,78.10782335733838,4.868384656852458,0.0,-3.0,15.353386363143304,1,,8.978465161906797
0,179.1044776119403,0.9142864808385989,0.4380127516555907,-0.06332279687432726,-0.7331809454472893,335,119.46141480793817,134.1,107.34208955223882,78.01946051222417,4.279436802681323,0.0,-3.0,8.868501641671948,1,,2.6525548504248206
0,181.2688821752266,0.5519350765203487,0.4733036377374671,0.8051172651219904,-0.799659439691244,331,125.67990045722969,131.8,99.77250755287008,77.09861314090683,5.032045267100215,0.0,-3.0,14.67253252262711,1,,3.9798579646851096
0,180.72289156626505,0.6280162353517242,0.5447874013229073,0.592995683178283,-1.2594671182941362,332,125.16920077049006,88.4,72.3921686746988,77.69951522076401,4.585592023406608,0.0,-3.0,13.260226181717469,1,,4.265394014834186
0,196.07843137254903,0.8586136793051706,0.53451171320889,0.1414051260770486,-1.5043945256667013,306,46.80820255060033,128.6,74.36176470588234,75.83808882282432,6.075120487246981,0.0,-3.0,0.05054165089073215,1,,0.026728188921026685
0,154.63917525773195,0.9036155180824453,0.6304617667072621,0.23722825621643703,-1.5185064719542378,388,46.06887547331149,170.3,130.88994845360824,73.65880705201363,8.96416070253036,0.0,-3.0,0.007620059808904888,1,,0.004043052062911556
0,194.80519480519482,1.059509064815431,0.5915483734738264,-0.007092611131265739,-1.1406731171408742,308,69.46592920988071,113.6,97.38896103896104,68.87388917642885,3.0973262867225793,0.0,-3.0,1.5490234549689648,1,,0.48946288537450755
0,204.77815699658703,0.9045384341965547,0.6906908193807755,0.45728310057957,-1.264574550962477,293,115.44189516708252,103.3,84.15767918088737,69.57675640691217,2.632549888619174,0.0,-3.0,7.53466225942068,1,,1.4152676301483496
0,60.97560975609756,0.30353568190270996,0.42413142542616383,2.216131793945869,3.939045011995397,984,0.0,152.8,81.8619918699187,66.10007164830594,5.8586714334566965,0.0,0.0,0.0,1,,0.0
0,62.63048016701461,0.2956200861032391,0.37960845331713566,1.8116967705019495,1.9083828920781594,958,114.56418658451706,158.5,99.27484342379958,70.16932666387022,4.173159515864127,0.0,-3.0,7.298145946853654,1,,2.6894713488082544
