Beats per Second (1000ms),BPM,EGM Mean RV,EGM STD RV,EGM Skewness RV,EGM Kurtosis RV,R-R Interval RV,BP,Max Actual BP,Mean Actual BP,Per Mean,Per STD,Per Skewness,Per Kurtosis,Current Perfusion Grad,Decision,Percentage change of,perfusion_consensus_max,perfusion_consensus_height,perfusion_mean
0,161.72506738544473,0.04998323837172677,0.021986755396391205,0.5855651731258895,-0.9445799431322754,371,46.149408655778004,85.8,79.93369272237197,72.3783338287785,9.087279191923546,0.0,-3.0,0.012280358226989052,1,13.05361305361306,84.24395726089419,0.38314717668205844,72.3783338287785
0,154.63917525773195,0.04124083990296733,0.022252707978793106,1.1718148373644044,0.294980339595837,388,46.09412854031781,113.19999999999999,103.76443298969073,62.746241386263115,2.7968498587426187,0.0,-3.0,0.009081011680499271,1,16.961130742049463,65.44546384655379,0.15982580557678716,62.746241386263115
0,75.28230865746549,0.03596228591320351,0.016529474586027465,1.6711743513721593,2.7303462576660245,797,46.22745466864145,105.4,85.90451693851944,53.76715872128475,10.997904767504282,0.0,-3.0,0.01680022491526691,1,31.024667931688803,67.54902790459823,0.413285532915566,53.76715872128475
0,51.45797598627787,0.0408594510890857,0.01978111716592119,1.59559586166413,1.7569588060165273,1166,49.24062873822395,109.4,87.02735849056603,55.73122012329486,12.168615171165014,0.0,-3.0,0.19399610235562015,1,34.734917733089596,72.54041046289575,4.675306066770446,55.73122012329486
0,50.847457627118644,0.04837134707898297,0.015538558610086196,1.4268361385237824,1.8031841123273757,1180,55.60219174076657,110.60000000000001,87.27372881355932,62.01095326760123,10.222781942930016,0.0,-3.0,0.5866723713700289,1,36.79927667269441,75.49827418160119,7.802742539221384,62.01095326760123
0,69.36416184971098,0.04446472835991489,0.02039120620592044,1.5806923536213557,2.2399043704817263,865,50.801217830520606,110.60000000000001,89.09815028901734,61.233271746583526,10.576604785056345,0.0,-3.0,0.2879088191504043,1,33.36347197106691,72.28448155258405,7.687165471315794,61.233271746583526
0,40.955631399317404,0.04202822614164754,0.02021181350590204,2.682104482134783,7.801155858696939,1465,52.174974070023325,110.3,71.04730375426621,56.727289047987,11.582948527504398,0.0,-3.0,0.3718430632057982,1,50.77062556663644,71.94823876141973,11.043738977212207,56.727289047987
0,55.14705882352941,0.04870306334123212,0.03168241368996193,2.2284422555471526,4.302131160388179,1088,49.9207150721215,104.69999999999999,85.21645220588235,57.91474978099527,13.43626607816654,0.0,-3.0,0.234737582078732,1,33.2378223495702,77.35281214072565,13.426989694903469,57.91474978099527
0,54.39709882139619,0.04482608955814376,0.026695960577289415,2.7473849207559193,7.127893138311219,1103,52.01575997386855,109.2,84.70453309156845,60.15262243845752,15.12656020478243,0.0,-3.0,0.3620533394454367,1,36.996336996337,81.50985592047068,22.8817710529516,60.15262243845752
0,53.23868677905945,0.04884766866865959,0.019969702976037552,1.3355983967188498,1.7256375001362763,1127,53.98588092312772,102.69999999999999,85.64259094942325,60.808833337670016,15.17795919372111,0.0,-3.0,0.4843652857683862,1,31.35345666991236,82.0762912578369,24.218264288419313,60.808833337670016
0,56.390977443609025,0.03975339579304385,0.01737228110236954,1.8325238972858817,2.81244212416593,1064,54.66403202373411,105.80000000000001,84.84163533834587,59.15872399373655,16.067332021544345,0.0,-3.0,0.5270700748495005,1,32.419659735349725,83.30809649299573,25.931847682595425,59.15872399373655
0,52.67778753292362,0.03878946859865532,0.014999995778204033,1.4832439152629215,2.3434187862612648,1139,52.31050163213055,112.20000000000002,89.38103599648815,59.943318369980894,17.314902801564436,0.0,-3.0,0.38018931718024673,1,34.84848484848486,86.38780148097369,27.639763359003936,59.943318369980894
0,54.10279531109107,0.05294255822793709,0.021691474543665625,2.636550460858276,7.78001248805014,1109,53.13427409784768,112.5,91.11136158701532,66.73467635599528,18.589357065183258,0.0,-3.0,0.43117882326711465,1,33.42222222222222,90.08465541250621,30.57057856963843,66.73467635599528
0,70.4225352112676,0.11547990684665788,0.1459717145855325,2.1425130728290704,3.350235149343196,852,53.54431302120152,112.5,89.8012910798122,66.93946640543851,18.57489091040522,0.0,-3.0,0.45672672990705965,1,36.0,89.62752345603928,30.37232753881947,66.93946640543851
0,39.8406374501992,0.040275497776934836,0.015224988548034526,1.6459816463342547,5.107085033655526,1506,51.77762688719089,106.69999999999999,85.38718459495351,69.5112734103696,16.638822149368263,0.0,-3.0,0.3474416367559357,1,33.458294283036544,90.22254233464746,23.417566317350065,69.5112734103696
0,112.35955056179775,0.05303064548754657,0.02762231168612753,1.2121403545671297,0.4595851051980344,534,54.23189205557904,97.0,79.19213483146068,67.87207113882438,16.260571487148084,0.0,-3.0,0.4998208597856789,1,23.91752577319588,87.4777902929482,18.093515124241577,67.87207113882438
