Beats per Second (1000ms),BPM,EGM Mean RV,EGM STD RV,EGM Skewness RV,EGM Kurtosis RV,R-R Interval RV,BP,Max Actual BP,Mean Actual BP,Per Mean,Per STD,Per Skewness,Per Kurtosis,Current Perfusion Grad,Decision,Quality of prfusion,Perfusion Amplitude
0,175.43859649122808,0.968188586481254,0.8717287244719051,1.2654279129706607,0.6819758997150798,342,112.59545747977651,185.1,155.756432748538,90.13631085810411,7.054345682716636,0.0,-3.0,6.81487223980563,1,,3.107157278289222
0,117.6470588235294,0.8747063741117624,1.2521702316911982,2.1485131540013658,3.6204652573297764,510,0.0,175.29999999999998,126.95823529411764,91.71038302743436,4.184201087908305,0.0,0.0,0.0,1,,0.0
0,81.85538881309687,0.9669758361756566,1.4728371530179947,1.724684480848366,1.5161875113074155,733,96.94361768884394,175.29999999999998,119.64201909959073,86.74648887196628,4.994218231477429,0.0,-3.0,4.196869124110445,1,,1.144735348190295
0,75.9493670886076,0.8999305519154376,1.2895014301382794,1.822274867671084,1.8046813756145301,790,124.23528696976079,189.9,126.60987341772152,85.03587500546146,5.937574071365902,0.0,-3.0,11.87587104058642,1,,3.5749854213206333
0,38.53564547206166,0.39102228268722605,0.6955025099296389,4.37624170659952,19.846636103857143,1557,125.07240358052087,179.7,93.61464354527938,63.59430984056059,23.696910849501386,0.0,-3.0,13.071856453220981,1,,3.134558944891168
0,70.92198581560284,0.7887781308876439,1.2888316472182246,1.9351373758389603,2.2730929277243304,846,126.66099064881335,165.7,108.81914893617021,63.91000760061525,22.99259910908948,0.0,-3.0,19.947126223418337,1,,12.375760000833978
0,71.3436385255648,0.8556396552112034,1.2703360401649608,1.8719177554973947,2.0548913514498865,841,126.7736876817939,162.9,106.34435196195007,63.491908975909176,22.60561048412362,0.0,-3.0,20.30965634453006,1,,15.54431930675426
0,70.75471698113208,0.8170020943550182,1.3623721125694574,1.9223390415567398,2.2065173779708926,848,126.97445831720052,162.9,105.69823113207546,61.59637837365479,21.297938003411893,0.0,-3.0,20.876141585166295,1,,13.234087782857998
0,70.75471698113208,0.866169754879363,1.4112675895057405,1.9384538915838472,2.2693055978562358,848,126.3344653897619,160.1,104.74080188679245,62.451130886278754,22.196668952986204,0.0,-3.0,18.590488810594884,1,,12.949566985643514
0,69.44444444444444,0.8226063971839055,1.380581960223835,1.9622185428989682,2.4328313966880586,864,128.71103697583567,160.1,103.72905092592593,61.85776102845362,21.24246710898431,0.0,-3.0,24.050282201750413,1,,14.816517580108012
0,69.20415224913495,0.866899494345995,1.3210865914625123,1.8956881683573823,2.1212292042127796,867,126.35478807501826,159.60000000000002,104.60346020761246,74.02237060765593,5.989372529854997,0.0,-3.0,18.69402354968783,1,,11.707431439937835
0,69.93006993006993,0.9532635151291092,1.3533242405305106,1.885586619951503,2.087676104126369,858,103.23105564732114,162.9,107.09941724941726,76.82802671275685,8.431265327917945,0.0,-3.0,5.071875724717124,1,,3.3726091747324887
0,69.44444444444444,0.8756069491352365,1.3263506967439234,1.9014164351197034,2.2323623950486526,864,0.0,153.1,101.54641203703703,70.58628175496854,10.407386490215313,0.0,0.0,0.0,1,,0.0
0,71.8562874251497,0.8123025319643623,1.2138413055747448,2.150546235331958,3.3683264185478006,835,52.28511178615717,153.1,99.68443113772454,63.87638325577048,7.153656374182614,0.0,-3.0,0.3786248136084519,1,,0.24054378787350572
0,69.28406466512702,0.9454792624208255,1.4632808827712493,1.9579828940512742,2.340580502005433,866,52.223529974170575,149.0,99.35796766743648,60.76941445853599,8.709182168236426,0.0,-3.0,0.37483193028686435,1,,0.24009670889587653
0,100.0,1.165770033647401,1.5297386617366642,1.495211499621316,0.9689090529381987,600,93.83646678600981,149.0,111.23116666666667,61.38372326625655,12.092659878211744,0.0,-3.0,3.8178615924298223,1,,2.8161347984646454
0,53.23868677905945,0.6311426022732206,1.0750323785604938,2.7323447566779016,6.692132202771322,1127,92.16560233429391,147.70000000000002,83.19059449866903,57.10526067763047,14.570260415671328,0.0,-3.0,3.6256648228534907,1,,3.193565188570588
0,70.83825265643448,0.8666118551407261,1.481361308424661,1.9107088498182199,2.210262987400636,847,101.53416861408772,147.70000000000002,97.56800472255019,52.550572121543894,11.817204133774315,0.0,-3.0,4.818924671231919,1,,4.021347654639946
0,71.42857142857143,0.8786685307783011,1.405607325996643,1.9144790672571357,2.1740710046641176,840,118.56320488773055,152.29999999999998,102.3004761904762,58.35400941896492,9.739182722345237,0.0,-3.0,8.524059359288971,1,,6.669674347141843
0,71.3436385255648,0.9173095009789131,1.4637765797323459,1.927759048452807,2.2316492133669428,841,125.28520911605976,158.6,106.4307966706302,65.4758367584322,11.248246205914649,0.0,-3.0,13.509408973769377,1,,9.970476618651361
0,71.8562874251497,0.9390895053946563,1.473082211102574,1.8966692975227442,2.151247094061964,835,122.20482751767167,158.6,107.1437125748503,66.07545151678653,12.334631741518987,0.0,-3.0,10.221172921897107,1,,7.663171827189032
0,71.77033492822966,0.9205274313495965,1.3931598988892835,1.8993852977399703,2.126576493069556,836,124.220915347935,166.2,110.76076555023923,64.4771555392428,12.687180988933408,0.0,-3.0,11.859712340270713,1,,9.72294365554697
0,71.51370679380214,0.8732477891699156,1.4317881747760772,1.8777222499894985,2.0396260280226475,839,133.05231983244715,166.2,112.26948748510132,71.47530758983288,5.1734726367141555,0.0,-3.0,28.85680315090575,1,,16.972228820107738
