Beats per Second (1000ms),BPM,EGM Mean RV,EGM STD RV,EGM Skewness RV,EGM Kurtosis RV,R-R Interval RV,BP,Max Actual BP,Mean Actual BP,Per Mean,Per STD,Per Skewness,Per Kurtosis,Current Perfusion Grad,Decision,Percentage change of,perfusion_consensus_max,perfusion_consensus_height,perfusion_mean
0,122.95081967213115,0.10085079001684734,0.15568812693207748,2.2951963912726017,4.016545039176148,488,47.452555297956195,107.1,76.72520491803279,89.10288088761972,2.1149482340035477,0.0,-3.0,0.08820490698447672,3,34.92063492063493,91.49701094255832,2.5844037746451676,89.10288088761972
0,102.91595197255575,0.16250027969768618,0.19961801013524283,1.3414168276177674,0.23798008552264216,583,50.92462323852964,82.8,75.87907375643225,92.5164388144205,2.2181704821871855,0.0,-3.0,0.29539963591983764,3,20.893719806763283,94.81418926905502,7.621310606731811,92.5164388144205
0,103.27022375215147,0.14225847156589164,0.18974065012264898,1.3997937038890174,0.532127919301479,581,0.0,80.4,70.14113597246127,79.85789859666777,8.199771720973645,0.0,0.0,0.0,3,20.024875621890555,89.17535068743301,0.0,79.85789859666777
0,103.44827586206897,0.11292651256331031,0.13131262647913702,1.5944669612811995,1.3324316404749013,580,51.54412175992975,115.6,82.88396551724139,71.68141065945021,7.004531637411315,0.0,-3.0,0.3331493117297995,3,43.166089965397916,78.22749024388628,7.7290640321313475,71.68141065945021
0,102.21465076660988,0.11826117050146975,0.1525877301602742,1.8456839878395321,2.622774695811093,587,56.316433300066805,87.0,77.75962521294718,74.34250654744585,6.755360879162233,0.0,-3.0,0.6324648585453969,3,19.885057471264382,82.15010967076914,17.076551180725716,74.34250654744585
0,103.62694300518135,0.1668073560540188,0.20305478210950448,1.2950885610911114,0.12882063884106465,579,55.05589446090033,83.89999999999999,72.56234887737479,72.79411641132411,7.4408455175101,0.0,-3.0,0.5518908624941166,3,22.76519666269368,81.00457796883039,13.631704303604678,72.79411641132411
0,102.04081632653062,0.14038961974091202,0.1851353493351871,1.3956163807491377,0.5224979746898581,588,56.438885691571514,103.0,75.18673469387755,65.55547137685583,8.097184154077212,0.0,-3.0,0.6403523539827273,3,37.18446601941747,75.68091412155995,18.890394442490454,65.55547137685583
0,104.16666666666667,0.1421771613158142,0.17934543033831007,1.3381593422846056,0.4069584651272091,576,63.22737154216147,105.3,79.03003472222223,62.964037974722075,10.228773286704467,0.0,-3.0,1.0955633167917989,3,35.80246913580246,75.54890674215955,27.608195583153332,62.964037974722075
0,101.69491525423729,0.14935926400309055,0.1918410385358989,1.4208143496084296,0.6126877511153932,590,66.36592435885976,103.3,79.19559322033899,61.312425003865954,12.173489402382975,0.0,-3.0,1.319082470450068,3,35.52758954501451,76.61105658671802,33.372786502386724,61.312425003865954
0,103.27022375215147,0.12936351244378247,0.1581524122563769,1.3057188094621341,0.18132895076000244,581,67.1207828966839,81.5,75.49294320137695,66.62879234914746,12.637228025757064,0.0,-3.0,1.3742019066503337,3,15.214723926380374,81.76821122125624,37.103451479559006,66.62879234914746
0,104.16666666666667,0.14250830032547712,0.173963881199152,1.2298974909609406,0.05205412708375956,576,60.32274113136548,88.9,71.66614583333333,63.65036097317342,11.97977592059804,0.0,-3.0,0.8963199434280412,3,29.471316085489313,78.12420686445058,27.696286251926473,63.65036097317342
0,98.36065573770492,0.11546159822519458,0.16053250695466084,1.9445516623550323,2.7223484751480607,610,66.3175085360762,116.5,83.48295081967213,58.2867690957656,12.518755231183105,0.0,-3.0,1.3155657195952073,3,43.776824034334766,73.85648944345184,32.62602984596114,58.2867690957656
0,107.14285714285714,0.10795267377539262,0.1665675353067908,2.201818974605477,3.9101335226246983,560,67.06610632470816,113.79999999999998,82.92928571428571,64.94592347912622,13.536554166295781,0.0,-3.0,1.3701910497732197,3,37.17047451669595,80.61107479129255,37.26919655383158,64.94592347912622
0,102.56410256410257,0.17468149787273524,0.21910244703720555,1.3041961906772936,0.16876651600442028,585,57.98309862562407,87.3,71.95196581196582,63.962743452284435,10.932789285259693,0.0,-3.0,0.7407588915203634,3,28.178694158075597,76.27130508676869,22.222766745610905,63.962743452284435
0,103.09278350515464,0.14525657632518696,0.1879414120398653,1.6703363793499162,1.6144461442546563,582,61.44250347428428,96.6,74.3147766323024,61.79542112455531,10.353885636265774,0.0,-3.0,0.972302311546095,3,34.57556935817805,73.59655782285618,26.641083336363003,61.79542112455531
0,103.09278350515464,0.1200750697957065,0.1390715841253455,1.4285040580665853,0.7876775334389765,582,61.502480155572435,97.6,79.46288659793814,62.30227910112084,9.999865412210054,0.0,-3.0,0.9764009214964151,3,27.561475409836056,73.90395825622984,23.238341931614677,62.30227910112084
0,102.73972602739725,0.14631682828871456,0.17361914808492218,1.2728582346677835,0.05036130041532383,584,61.63280697505545,97.89999999999999,75.01797945205479,59.97827648249832,10.151458937785794,0.0,-3.0,0.9853172611011003,3,31.76710929519918,72.36031731852556,23.5490825403163,59.97827648249832
0,102.56410256410257,0.1328697617416035,0.1613661384229747,1.4520806755883195,0.7661260643264574,585,63.78280632028024,107.69999999999999,84.3782905982906,65.72442818825832,10.118251287120199,0.0,-3.0,1.134476924193072,3,32.033426183844,78.06600961052807,30.403981568374327,65.72442818825832
0,103.98613518197574,0.1447015538131948,0.17695341860158073,1.565151194513066,1.3965226474687764,577,62.932260053858975,107.69999999999999,82.64644714038128,65.4939777908106,9.762520979123828,0.0,-3.0,1.0749967261845152,3,34.0761374187558,78.02012382123014,27.627415862942044,65.4939777908106
