!Max Actual BP,!Mean Actual BP,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis,EGM Mean,EGM STD,EGM Skewness,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness,!BP,Per_similarity
0.874,0.13822583333333333,1.0,0.0,0.0,0.0,2.0586835166338115,0.010043810805400788,0.02146491421072897,1.914934431968288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.874,0.26796416666666667,1.0,0.0,0.0,0.0,-0.07019883626055368,0.017478637989780818,0.02318038229699639,1.1340071160720573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.069,0.41725,2.0,10.221009804244469,19.8300122446873,0.0,-0.9845605154462178,0.029838877407579893,0.030943449329578543,0.5737223934074734,-1.558950566643223,0.2786409067466603,0.381806087296165,0.6498057635299559,-1.2178199480860281,0.38113531152276153,0.04406314352732201,-0.6196692871415959,[4.46212159],
1.132,0.5961233333333333,2.0,42.57140002562783,54.992909690764904,0.0,-0.714687016076855,0.03438569524722842,0.028029123487473235,0.4931742736399113,0.29609347209983516,0.11745386617191492,0.23443006850673737,1.506345280214484,-1.0761693252446585,0.48442244718843075,0.03627214762644767,-0.6929074584684067,[27.63622153],-0.37234342153385525
1.132,0.7584016666666666,2.0,41.25797774897666,54.992909690764904,0.0,-0.07367362085182982,0.04115510236445958,0.022965770285869453,0.603453636545172,0.29609347209983516,0.11745386617191492,0.23443006850673737,1.506345280214484,-1.0761693252446585,0.6245666931129202,0.03627214762644767,-0.6929074584684067,[27.63622153],-0.37234342153385525
1.132,0.9044266666666668,1.0,43.717692615290765,61.76867231867944,0.0,1.1782825252183429,0.041219333615018415,0.019381571542761933,1.4055469464649573,0.5068581023043177,0.0770623859508665,0.154908937609755,1.5543363234740288,-0.9957680724357014,0.5712617529596542,0.04741890309513931,-0.7387718484116172,[31.04132371],-0.37234342153385525
1.132,0.9022258333333334,1.0,44.832385832962,60.53252204837461,0.0,1.3206588249698736,0.03905375981130405,0.020129870649324172,1.4025474040265136,-1.6504969184839382,0.44065395899200716,0.3545294253817152,-0.2241671201472924,-0.46265006419019583,0.5810260809731085,0.16938483238019228,-0.7416329654490749,[157.5489116],-0.37234342153385525
1.132,0.89903,0.0,56.77901584896074,11.497598722213064,0.0,4.42951156773383,0.03280109547084632,0.011714221106723386,1.537092677238831,-1.585119427777869,0.2443478726723533,0.3325454458069986,0.633242736292732,-0.034402522266470115,0.5974625099009258,0.03363465882514741,-1.1739731312715644,[10.17621603],-0.37234342153385525
1.132,0.9003508333333335,1.0,50.10446253564232,28.8001055811503,0.0,0.8851995213906667,0.03835000195899902,0.019228032805082295,1.2746541246940006,-1.3230372918965987,0.19152514464169212,0.25049899450259605,0.6751779281881568,-1.5539303702509635,0.5962654532974734,0.10996421342862156,-0.2510438198585622,6.696578085646715,1.0
1.115,0.89469,1.0,56.80987628463133,57.526710501190884,0.0,0.6524288403435801,0.04021098281785433,0.018806386298226428,1.1472129630030279,-0.2546390885348986,0.09301343898702687,0.16673579356898993,1.2823150997064028,-1.09925672370819,0.5904014483569638,0.05058223135648083,-0.42867702917560063,[42.71711354],0.47585998379545136
1.115,0.8878816666666668,1.0,43.988677870663906,72.15299846678765,0.0,0.5751793966160395,0.040527580768653156,0.018805628854843284,1.1223859682910688,0.3371702802328973,0.11647365092812446,0.22095349481687063,1.4693416376094248,-0.8479759771799138,0.576661734532031,0.10824726425498746,-0.8021722027912248,[57.36637568],0.1748818645068938
1.115,0.8809833333333333,1.0,23.602500410463588,74.02504407756236,0.0,1.0588502561074913,0.04170686260132347,0.017425691522247835,1.417680153023671,0.3371702802328955,0.13099768540857978,0.24850595970249262,1.4693416376094244,-0.8479759771799165,0.6519739991018434,0.12174548454709962,-0.802172202791223,[58.85477497],0.19661225541799143
1.115,0.8748308333333333,1.0,53.353613711847665,74.02504407756236,0.0,1.088462594129349,0.041604364729686046,0.01746922444019584,1.4119596817879698,0.3371702802328955,0.13099768540857978,0.24850595970249262,1.4693416376094244,-0.8479759771799165,0.6557113965702993,0.12174548454709962,-0.802172202791223,[58.85477497],0.7241995137010191
1.115,0.8716449999999999,0.0,69.26932503748239,54.5862011631751,0.0,4.482969707489547,0.03725749585031552,0.015429603420292658,2.0366300106816917,0.2648168195486429,0.6511712205766599,0.3224663440508147,-1.415752031324931,-1.0976002058987602,0.6720936526924867,0.07471867422611964,0.08964666290625328,[76.97290621],-0.05911260488288428
1.115,0.8774166666666667,1.0,72.74160428793714,23.432057044366505,0.0,1.2094582095257538,0.04325081389849477,0.020934907146369447,1.417628595408811,-1.1779106654383305,0.20600315561970559,0.2896789435753206,0.8045676332201055,-1.0250838319713875,0.6878773582483074,0.1261733834652246,-0.6591080609893718,[4.21811894],0.798579234409207
1.094,0.8731558333333334,1.0,71.76756164502477,51.63602636682062,0.0,1.0906579865339099,0.04528647774691976,0.020357890453850537,1.2682808781900978,0.2956747873157948,0.07728344959654142,0.1531833777089983,1.4983906146862547,-1.1040207414901562,0.6498132014106484,0.03134645451788127,-0.09886736832650443,[22.4635283],0.8891275488177132
1.094,0.8708249999999998,1.0,64.23125212482033,51.63602636682062,0.0,1.2198060105433228,0.04486117807654261,0.020323385958943813,1.3357297098239167,0.2956747873157948,0.07728344959654142,0.1531833777089983,1.4983906146862547,-1.1040207414901562,0.6303384986106161,0.03134645451788127,-0.09886736832650443,[22.4635283],1.0
1.094,0.8705233333333333,1.0,31.10989978620744,53.305207316176364,0.0,0.6039441698279826,0.04847562340991326,0.020043216423631348,0.9711984498043068,0.295674787315797,0.08208816236027862,0.16270678969323424,1.4983906146862553,-1.1040207414901584,0.6736986328243711,0.03329526388012163,-0.09886736832649984,[23.18968204],0.20117241252242668
1.094,0.8699608333333333,0.0,39.292154886033316,57.7563471847568,0.0,0.9707799251649338,0.05117584396011484,0.01892307036568608,1.3276127257632002,-0.9137012757084233,0.5941448846368911,0.3388810565793402,-0.7188881410574495,-1.0899194091381248,0.6887898670304657,0.20321446545693395,-0.6716751498610605,[164.61919687],-1.160976921046594
