,!Max Actual BP,!Mean Actual BP,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis,EGM Mean,EGM STD,EGM Skewness,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness,!BP,Per_similarity
0,0.728,0.11794666666666667,1.0,0.0,0.0,0.0,6.606632252333052,0.031844898875534954,0.06524621734795051,2.5423911508863193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,0.728,0.23111250000000003,1.0,0.0,0.0,0.0,3.2818635404192733,0.10368681327650599,0.19222957170839008,2.0954272185091463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,0.728,0.34427916666666664,1.0,0.0,0.0,0.0,3.3506028583137004,0.10731497567365594,0.1904284426066935,2.11201172527913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,0.985,0.465825,1.0,0.0,0.0,0.0,3.410362449730207,0.10979865044701921,0.1890991181522985,2.1285812781718807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4,1.358,0.6659191666666667,1.0,0.0,0.0,0.0,1.7771066942350764,0.13698918606244512,0.20066783680792635,1.738756188552075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5,1.358,0.8647250000000001,2.0,0.0,0.0,0.0,-0.08875239030769899,0.1798621528509195,0.23858175088233574,1.2145162073107827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
6,1.358,0.9180741666666665,1.0,0.0,0.0,0.0,3.4023645011466837,0.10784864753794683,0.18670184475428644,2.1581954279701003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
7,1.358,0.9658908333333333,1.0,29.003084039872295,47.952403075474216,0.0,3.989499097989002,0.10035990073445328,0.18492458301391876,2.309845696678763,-0.7157826901669009,0.7438008368845596,0.18116602966050924,-0.6133008114188738,-0.7157826901669009,0.7011044364956879,0.18116602966050924,-0.6133008114188738,[124.80644548],
8,1.358,1.0012258333333333,1.0,42.73687298051431,47.952403075474216,0.0,1.1641530096042452,0.13955948326588358,0.2150836539143013,1.6388638291956792,-0.7157826901669009,0.7438008368845596,0.18116602966050924,-0.6133008114188738,-0.7157826901669009,0.7014989602766655,0.18116602966050924,-0.6133008114188738,[124.80644548],1.0
9,1.358,1.0182891666666665,2.0,42.73687298051431,47.952403075474216,0.0,-0.08602360309844359,0.17431030015415627,0.22991402496360508,1.212390397063974,-0.7157826901669009,0.7438008368845596,0.18116602966050924,-0.6133008114188738,-0.7157826901669009,0.7014989602766655,0.18116602966050924,-0.6133008114188738,[124.80644548],1.0
10,1.326,0.9508933333333335,1.0,42.73687298051431,47.952403075474216,0.0,4.033497248156991,0.09809066441636735,0.17248452395232738,2.3230891661848276,-0.7157826901669009,0.7438008368845596,0.18116602966050924,-0.6133008114188738,-0.7157826901669009,0.7014989602766655,0.18116602966050924,-0.6133008114188738,[124.80644548],1.0
11,1.107,0.87896,1.0,48.219488534323624,56.49895549276328,0.0,3.957558515782339,0.09558035060582623,0.17381723068246233,2.3020331717241436,-1.0611069241273094,0.7363879662261481,0.1833842284289711,-0.4210977897263949,-1.0611069241273094,0.7039598035860918,0.1833842284289711,-0.4210977897263949,[123.7429411],1.0
12,1.005,0.8296491666666667,2.0,49.26042615924237,56.49895549276328,0.0,1.0780064130207663,0.18555576446616334,0.27734064051148805,1.5639685034520086,-1.0611069241273094,0.7363879662261481,0.1833842284289711,-0.4210977897263949,-1.0611069241273094,0.7099232540216515,0.1833842284289711,-0.4210977897263949,[123.7429411],1.0
13,0.939,0.7861566666666666,2.0,49.26042615924237,56.49895549276328,0.0,0.6095180273363701,0.2006563800837645,0.2807414754731041,1.3901265470267896,-1.0611069241273094,0.7363879662261481,0.1833842284289711,-0.4210977897263949,-1.0611069241273094,0.7099232540216515,0.1833842284289711,-0.4210977897263949,[123.7429411],1.0
14,1.162,0.7855258333333333,1.0,49.26042615924237,56.49895549276328,0.0,4.3461408313426855,0.1300423866976326,0.2496710011844888,2.392506769006882,-1.0611069241273094,0.7363879662261481,0.1833842284289711,-0.4210977897263949,-1.0611069241273094,0.7099232540216515,0.1833842284289711,-0.4210977897263949,[123.7429411],1.0
15,1.362,0.8591658333333334,1.0,49.571067657627054,57.18991864652524,0.0,4.2495046246922055,0.12667428686582125,0.25163441004806353,2.36679518407408,-0.8852900603731397,0.7171946269821988,0.2017845555611598,-0.577493241147094,-0.8852900603731397,0.6699560573975092,0.2017845555611598,-0.577493241147094,[125.68523535],1.0
16,1.362,0.9114983333333333,2.0,49.571067657627054,57.18991864652524,0.0,0.17913030330262814,0.23933711512207373,0.3495508089747545,1.3263972219763929,-0.8852900603731397,0.7171946269821988,0.2017845555611598,-0.577493241147094,-0.8852900603731397,0.6699560573975092,0.2017845555611598,-0.577493241147094,[125.68523535],1.0
17,1.362,0.9345525,1.0,49.571067657627054,57.18991864652524,0.0,0.4072234749496868,0.22893723285262552,0.3481649803374008,1.4245870627402533,-0.8852900603731397,0.7171946269821988,0.2017845555611598,-0.577493241147094,-0.8852900603731397,0.6699560573975092,0.2017845555611598,-0.577493241147094,[125.68523535],1.0
18,1.362,0.9525291666666665,1.0,49.571067657627054,57.18991864652524,0.0,4.346227172312047,0.1452493828966969,0.28606451228941254,2.3948091818580304,-0.8852900603731397,0.7171946269821988,0.2017845555611598,-0.577493241147094,-0.8852900603731397,0.6699560573975092,0.2017845555611598,-0.577493241147094,[125.68523535],1.0
19,1.362,0.9804308333333334,1.0,54.515323794293366,59.059297810863306,0.0,4.328170712432448,0.14250053110917243,0.28718829660714174,2.391477115006143,-1.2178955717409854,0.7073422001653058,0.20288375463164507,-0.4000477125431205,-1.2178955717409854,0.6404151168203159,0.20288375463164507,-0.4000477125431205,[144.41192021],1.0
20,1.362,1.0168241666666666,2.0,54.515323794293366,59.059297810863306,0.0,1.848925402656496,0.20637226677368145,0.2975890493854749,1.696634427587568,-1.2178955717409854,0.7073422001653058,0.20288375463164507,-0.4000477125431205,-1.2178955717409854,0.6404151168203159,0.20288375463164507,-0.4000477125431205,[144.41192021],1.0
21,1.214,0.9775600000000001,1.0,54.515323794293366,59.059297810863306,0.0,4.182164790467613,0.16038030262533426,0.2633136076766062,2.1877457809968788,-1.2178955717409854,0.7073422001653058,0.20288375463164507,-0.4000477125431205,-1.2178955717409854,0.6404151168203159,0.20288375463164507,-0.4000477125431205,[144.41192021],1.0
22,1.164,0.9486433333333334,1.0,56.789767120626976,55.25068055660782,0.0,3.85607562694197,0.08884527212062997,0.14683592845695492,2.2685126891355196,-1.3720847113428507,0.6236266625452518,0.1521856237743169,-0.248689215257032,-1.3720847113428507,0.6255278349669731,0.1521856237743169,-0.248689215257032,[127.63962276],0.9881953777313812
23,1.164,0.9456283333333333,1.0,57.577473279836475,54.012630547421836,0.0,3.682520916334502,0.08799742052660973,0.148069198033326,2.2232000182762763,-1.3720847113428498,0.5957185329428342,0.14537511298796935,-0.24868921525703241,-1.3720847113428498,0.579698272701786,0.14537511298796935,-0.24868921525703241,[124.77949082],1.0
24,1.164,0.9474166666666668,2.0,57.577473279836475,54.012630547421836,0.0,0.15999450405516846,0.16335573612238427,0.21361760946967798,1.2747229909325526,-1.3720847113428498,0.5957185329428342,0.14537511298796935,-0.24868921525703241,-1.3720847113428498,0.579698272701786,0.14537511298796935,-0.24868921525703241,[124.77949082],1.0
