!Max Actual BP,!Mean Actual BP,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis,EGM Mean,EGM STD,EGM Skewness,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness,!BP,Per_similarity
0.757,0.07938583333333332,0.0,0.0,0.0,0.0,2.9788434577393383,0.007738818626331721,0.01654910908598626,2.094647503237768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.822,0.20850749999999998,0.0,0.0,0.0,0.0,21.850835166589658,0.041502107094409324,0.07051847715670637,4.213323999944284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.822,0.3035716666666667,1.0,0.0,0.0,0.0,4.195921221504109,0.27276443839778447,0.5843940616693798,2.365914473047261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.822,0.38156416666666665,1.0,0.0,0.0,0.0,4.242380801590103,0.28409999922074114,0.5796121764653698,2.3763573221972294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.822,0.44981666666666664,1.0,0.0,0.0,0.0,4.3060012429725205,0.2961964494930607,0.5742310862441201,2.392584718822229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.822,0.5509625,1.0,34.65732570417055,54.12396406759157,0.0,4.354646640000172,0.30428656445201163,0.5705215859121318,2.4056963807027723,-1.293148124287802,0.7058444203549402,0.18245050384574418,-0.2980035807674692,-1.293148124287802,0.6675369195962089,0.18245050384574418,-0.2980035807674692,[146.95871003],
0.822,0.5917908333333334,1.0,34.65732570417055,54.12396406759157,0.0,1.4978007168550667,0.41925139938943945,0.6684416022397713,1.7498568757453552,-1.293148124287802,0.7058444203549402,0.18245050384574418,-0.2980035807674692,-1.293148124287802,0.6675369195962089,0.18245050384574418,-0.2980035807674692,[146.95871003],
0.82,0.5493741666666667,1.0,34.65732570417055,54.12396406759157,0.0,3.9601896849433835,0.333802267044332,0.5932024251761886,2.293028238077066,-1.293148124287802,0.7058444203549402,0.18245050384574418,-0.2980035807674692,-1.293148124287802,0.6675369195962089,0.18245050384574418,-0.2980035807674692,[146.95871003],
0.82,0.5275308333333334,1.0,34.65732570417055,54.12396406759157,0.0,4.370706368520398,0.3146816900214888,0.590813303226878,2.408973860261963,-1.293148124287802,0.7058444203549402,0.18245050384574418,-0.2980035807674692,-1.293148124287802,0.6675369195962089,0.18245050384574418,-0.2980035807674692,[146.95871003],
0.82,0.514925,1.0,34.65732570417055,54.12396406759157,0.0,4.337502667291446,0.3074014410016258,0.5939360449381081,2.4008851546822965,-1.293148124287802,0.7058444203549402,0.18245050384574418,-0.2980035807674692,-1.293148124287802,0.6675369195962089,0.18245050384574418,-0.2980035807674692,[146.95871003],
0.82,0.5598133333333334,1.0,52.20994589143656,59.09996567127906,0.0,4.33865930094498,0.32260785721792373,0.5888537013283202,2.3944361307828697,-1.5059582443625108,0.6619566147643668,0.19477750344163516,0.028186629249561803,-1.5059582443625108,0.6289529338087626,0.19477750344163516,0.028186629249561803,152.93380265709166,0.9296527700590639
0.807,0.5653366666666667,2.0,52.20994589143656,59.09996567127906,0.0,0.328937965343016,0.5535023108831651,0.7826628236178966,1.4025126987369663,-1.5059582443625108,0.6619566147643668,0.19477750344163516,0.028186629249561803,-1.5059582443625108,0.6289529338087626,0.19477750344163516,0.028186629249561803,152.93380265709166,0.9296527700590639
0.794,0.52701,1.0,52.20994589143656,59.09996567127906,0.0,4.074859037215774,0.3523615549202346,0.6348349351147203,2.330939237548165,-1.5059582443625108,0.6619566147643668,0.19477750344163516,0.028186629249561803,-1.5059582443625108,0.6289529338087626,0.19477750344163516,0.028186629249561803,152.93380265709166,0.9296527700590639
0.794,0.5095166666666667,1.0,52.20994589143656,59.09996567127906,0.0,4.0499937814852895,0.3459821919360535,0.6375782243188919,2.325453846501837,-1.5059582443625108,0.6619566147643668,0.19477750344163516,0.028186629249561803,-1.5059582443625108,0.6289529338087626,0.19477750344163516,0.028186629249561803,152.93380265709166,0.9296527700590639
0.794,0.5039433333333333,1.0,52.20994589143656,59.09996567127906,0.0,4.069507603069056,0.3506825347747343,0.6355319228176604,2.32995296340705,-1.5059582443625108,0.6619566147643668,0.19477750344163516,0.028186629249561803,-1.5059582443625108,0.6289529338087626,0.19477750344163516,0.028186629249561803,152.93380265709166,0.9296527700590639
0.794,0.5579816666666667,1.0,52.20994589143656,59.09996567127906,0.0,4.07754805869786,0.350928093648571,0.6352575768635101,2.332679152291064,-1.5059582443625108,0.6619566147643668,0.19477750344163516,0.028186629249561803,-1.5059582443625108,0.6289529338087626,0.19477750344163516,0.028186629249561803,152.93380265709166,0.9296527700590639
0.77,0.5377958333333334,2.0,52.20994589143656,59.09996567127906,0.0,0.2565851330292599,0.5495061224934764,0.8200940454986402,1.3871441140208882,-1.5059582443625108,0.6619566147643668,0.19477750344163516,0.028186629249561803,-1.5059582443625108,0.6289529338087626,0.19477750344163516,0.028186629249561803,152.93380265709166,0.9296527700590639
0.77,0.5082466666666666,1.0,52.20994589143656,59.09996567127906,0.0,4.164559093193019,0.3299590797421569,0.6403090433534465,2.3619842993226774,-1.5059582443625108,0.6619566147643668,0.19477750344163516,0.028186629249561803,-1.5059582443625108,0.6289529338087626,0.19477750344163516,0.028186629249561803,152.93380265709166,0.9296527700590639
0.77,0.49304083333333343,1.0,52.20994589143656,59.09996567127906,0.0,4.203578085739669,0.3403450532367076,0.6359209818601185,2.370957529302409,-1.5059582443625108,0.6619566147643668,0.19477750344163516,0.028186629249561803,-1.5059582443625108,0.6289529338087626,0.19477750344163516,0.028186629249561803,152.93380265709166,0.9296527700590639
0.77,0.5185191666666666,1.0,55.8273288268338,56.647115638948705,0.0,4.227571861033271,0.34573583147294584,0.6335387117841857,2.3769084656464936,-0.8290203076349667,0.6864340753733621,0.13274359052653925,-0.013439318484464976,-0.8290203076349667,0.6544134871730009,0.13274359052653925,-0.013439318484464976,[108.34656457],0.9296527700590639
0.77,0.5595016666666667,1.0,55.8273288268338,56.647115638948705,0.0,1.3396131829870717,0.4854595659594066,0.7295421625623477,1.6983848090113558,-0.8290203076349667,0.6864340753733621,0.13274359052653925,-0.013439318484464976,-0.8290203076349667,0.6544134871730009,0.13274359052653925,-0.013439318484464976,[108.34656457],0.9296527700590639
0.76,0.5224058333333332,1.0,55.8273288268338,56.647115638948705,0.0,1.5865243667523599,0.46429957943000644,0.7004557131428213,1.7592373117735747,-0.8290203076349667,0.6864340753733621,0.13274359052653925,-0.013439318484464976,-0.8290203076349667,0.6544134871730009,0.13274359052653925,-0.013439318484464976,[108.34656457],0.9296527700590639
0.76,0.49894666666666676,1.0,55.8273288268338,56.647115638948705,0.0,4.139724979901319,0.3644871831165579,0.6151957341585986,2.352713391965261,-0.8290203076349667,0.6864340753733621,0.13274359052653925,-0.013439318484464976,-0.8290203076349667,0.6544134871730009,0.13274359052653925,-0.013439318484464976,[108.34656457],0.9296527700590639
0.76,0.4948875,1.0,55.8273288268338,56.647115638948705,0.0,4.1230332500514795,0.3634902086674418,0.6159400928266502,2.347212946754883,-0.8290203076349667,0.6864340753733621,0.13274359052653925,-0.013439318484464976,-0.8290203076349667,0.6544134871730009,0.13274359052653925,-0.013439318484464976,[108.34656457],0.9296527700590639
0.77,0.5495625000000001,1.0,55.8273288268338,56.647115638948705,0.0,4.178729095421838,0.3803401118390966,0.6089532769947664,2.358857999588365,-0.8290203076349667,0.6864340753733621,0.13274359052653925,-0.013439318484464976,-0.8290203076349667,0.6544134871730009,0.13274359052653925,-0.013439318484464976,[108.34656457],0.9296527700590639
0.77,0.5458583333333333,2.0,55.8273288268338,56.647115638948705,0.0,0.08766227850343755,0.5921793569718276,0.7451258216267804,1.291431127040221,-0.8290203076349667,0.6864340753733621,0.13274359052653925,-0.013439318484464976,-0.8290203076349667,0.6544134871730009,0.13274359052653925,-0.013439318484464976,[108.34656457],0.9296527700590639
0.77,0.5119375,1.0,55.8273288268338,56.647115638948705,0.0,4.199287513102754,0.3343979446008478,0.5470121131728855,2.365982354200978,-0.8290203076349667,0.6864340753733621,0.13274359052653925,-0.013439318484464976,-0.8290203076349667,0.6544134871730009,0.13274359052653925,-0.013439318484464976,[108.34656457],0.9296527700590639
0.77,0.495495,1.0,55.8273288268338,56.647115638948705,0.0,4.183132769392707,0.3311812339395864,0.5484229967495817,2.3620727552590157,-0.8290203076349667,0.6864340753733621,0.13274359052653925,-0.013439318484464976,-0.8290203076349667,0.6544134871730009,0.13274359052653925,-0.013439318484464976,[108.34656457],0.9296527700590639
0.787,0.537685,1.0,56.44239574190911,51.6761251640334,0.0,4.1686838590390245,0.3237309332799997,0.5511993182927118,2.361028352820511,-1.1101512734252426,0.7127538200093936,0.1515856444269954,-0.4258963718500761,-1.1101512734252426,0.6719588513266678,0.1515856444269954,-0.4258963718500761,[136.82385121],0.9296527700590639
0.787,0.5706800000000001,2.0,56.44239574190911,51.6761251640334,0.0,0.3679476248676945,0.5181155967764628,0.7089767637094235,1.4242843111618064,-1.1101512734252426,0.7127538200093936,0.1515856444269954,-0.4258963718500761,-1.1101512734252426,0.6719588513266678,0.1515856444269954,-0.4258963718500761,[136.82385121],0.9296527700590639
0.787,0.5308241666666667,1.0,56.44239574190911,51.6761251640334,0.0,2.8126543402975432,0.3770849139432954,0.5833038877078078,2.0392697692506645,-1.1101512734252426,0.7127538200093936,0.1515856444269954,-0.4258963718500761,-1.1101512734252426,0.6719588513266678,0.1515856444269954,-0.4258963718500761,[136.82385121],0.9296527700590639
0.787,0.5091425,1.0,56.44239574190911,51.6761251640334,0.0,4.3313683186781144,0.3201289402223318,0.5624675646567976,2.400082021860613,-1.1101512734252426,0.7127538200093936,0.1515856444269954,-0.4258963718500761,-1.1101512734252426,0.6719588513266678,0.1515856444269954,-0.4258963718500761,[136.82385121],0.9296527700590639
0.787,0.5185683333333334,1.0,56.44239574190911,51.6761251640334,0.0,4.322429868738269,0.31857770623876003,0.5631654186716288,2.3977355272881224,-1.1101512734252426,0.7127538200093936,0.1515856444269954,-0.4258963718500761,-1.1101512734252426,0.6719588513266678,0.1515856444269954,-0.4258963718500761,[136.82385121],0.9296527700590639
0.794,0.575645,1.0,56.44239574190911,51.6761251640334,0.0,3.448383846691905,0.3628515481160666,0.5685432065808935,2.176934058561718,-1.1101512734252426,0.7127538200093936,0.1515856444269954,-0.4258963718500761,-1.1101512734252426,0.6719588513266678,0.1515856444269954,-0.4258963718500761,[136.82385121],0.9296527700590639
0.794,0.5524425000000001,2.0,56.44239574190911,51.6761251640334,0.0,0.23606596850413109,0.5265476791265407,0.733964726501027,1.3762927565675005,-1.1101512734252426,0.7127538200093936,0.1515856444269954,-0.4258963718500761,-1.1101512734252426,0.6719588513266678,0.1515856444269954,-0.4258963718500761,[136.82385121],0.9296527700590639
0.794,0.5201891666666666,1.0,56.44239574190911,51.6761251640334,0.0,4.292574236882093,0.32993531711700014,0.5753725323588111,2.382522302947358,-1.1101512734252426,0.7127538200093936,0.1515856444269954,-0.4258963718500761,-1.1101512734252426,0.6719588513266678,0.1515856444269954,-0.4258963718500761,[136.82385121],0.9296527700590639
0.794,0.5053641666666667,1.0,56.44239574190911,51.6761251640334,0.0,4.3073608577500995,0.3332480845956762,0.5739809242314032,2.3859398517026484,-1.1101512734252426,0.7127538200093936,0.1515856444269954,-0.4258963718500761,-1.1101512734252426,0.6719588513266678,0.1515856444269954,-0.4258963718500761,[136.82385121],0.9296527700590639
0.794,0.5529391666666666,1.0,56.578260669429866,51.002611679301964,0.0,4.36037718338284,0.3449620976472641,0.5689896740352995,2.3981231975524997,-1.4824873541437524,0.6979510897892618,0.15563705524673804,-0.013594944359397945,-1.4824873541437524,0.6660091424532183,0.15563705524673804,-0.013594944359397945,123.18148936690991,0.9296527700590639
