BP,BPM,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis RV,EGM Mean RV,EGM STD RV,EGM Skewness RV,Max Actual BP,Mean Actual BP,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness,R-R Interval RV
0.0,60.0,1.0,0.0,0.0,2.0,12.026187782110917,0.017115916679813,0.057016621637601295,3.62124283826704,106.69999999999999,8.8039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
0.0,60.0,1.0,0.0,0.0,2.0,11.873470627917706,0.018686228228370353,0.05678366059277955,3.5854485994302934,115.6,19.672150000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
0.0,60.0,1.0,0.0,0.0,2.0,11.791134830361667,0.020544876453033805,0.05641184060373522,3.5618059642623114,115.6,29.550299999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
0.0,60.0,1.0,0.0,0.0,2.0,11.718722217307553,0.022555182851360763,0.05599738063503607,3.539329649035175,115.6,38.44135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
0.0,60.0,1.0,0.0,0.0,2.0,11.5629039907568,0.02513002868901759,0.0555206674707465,3.498000531736428,115.6,46.68390000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
0.0,53.9568345323741,1.0,0.0,0.0,2.0,7.104740359244952,0.0339198526314559,0.05899067304539323,2.730337355730715,115.6,54.561800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0
3.0,53.9568345323741,1.0,40.319669508095686,13.750601332449822,2.0,7.168074745132133,0.0362256615793427,0.05825568095828704,2.7343946446508736,117.0,65.18815000000001,-0.3284846365989167,-0.6976989876448949,0.11433491952581054,0.6961393375477709,-0.3284846365989167,0.6976989876448949,0.11433491952581054,-0.6961393375477709,1112.0
3.0,53.9568345323741,1.0,59.494700214165114,13.750601332449822,2.0,7.387995235623542,0.03751013941791518,0.05758482848692344,2.7827279755890553,117.0,75.6902,-0.3284846365989167,-1.3953979752897898,0.22866983905162108,0.6961393375477709,-1.3975880165529335,0.6470484801949741,0.13353612430083672,-0.07709493211118852,1112.0
3.0,53.9568345323741,1.0,68.55610546586843,13.750601332449822,2.0,7.676774954178535,0.039104331881742144,0.05674018328023477,2.8472173945455403,117.0,85.02675,-0.32848463659891713,-2.093096962934684,0.3430047585774317,0.6961393375477739,-1.3975880165529335,0.6470484801949741,0.13353612430083672,-0.07709493211118852,1112.0
3.0,53.9568345323741,1.0,68.55610546586843,13.750601332449822,2.0,8.580784462497933,0.03461051053677104,0.044357745191753783,3.0105078675545385,117.0,93.40855,-0.32848463659891713,-2.093096962934684,0.3430047585774317,0.6961393375477739,-1.3975880165529335,0.6470484801949741,0.13353612430083672,-0.07709493211118852,1112.0
3.0,53.9568345323741,1.0,68.55610546586843,13.750601332449822,2.0,10.006350302791562,0.026737258444698882,0.024905439219606536,3.225742917748341,117.0,92.3014,-0.32848463659891713,-2.093096962934684,0.3430047585774317,0.6961393375477739,-1.3975880165529335,0.6470484801949741,0.13353612430083672,-0.07709493211118852,1112.0
5.0,54.249547920434,1.0,73.57179768133142,12.897166537663828,2.0,2.7943776403917857,0.0346223259693189,0.03318376286532259,1.9943917313863004,117.0,89.74180000000001,-0.5850314523524265,-2.962391866822182,0.23320641168730288,0.9488468526594521,-0.46963517113699904,0.5606424654334214,0.1260305743163318,-1.0154527393549146,1106.0
5.0,54.249547920434,1.0,79.12439345898649,12.98594036781999,2.0,3.1677964560589107,0.034015317122631505,0.03285883610096407,2.0888717168782396,117.0,90.01385,-0.5444974154353912,-3.5270282738638863,0.36001907996760946,0.9736617425345646,-0.4696351711369986,0.5646364070417059,0.12692839919709398,-1.0154527393549153,1106.0
