Beats per Second (1000ms),BPM,EGM Mean RV,EGM STD RV,EGM Skewness RV,EGM Kurtosis RV,R-R Interval RV,BP,Max Actual BP,Mean Actual BP,Per Mean,Per STD,Per Skewness,Per Kurtosis,Current Perfusion Grad,Decision,predictedbp,actual_theta,npargmax
0,161.72506738544473,0.04998323837172677,0.021986755396391205,0.5855651731258895,-0.9445799431322754,371,50,98.64765797538362,90.34200592765231,72.3783338287785,9.087279191923546,0.0,-3.0,16.070663934326724,1,0.0,0.02880805839714725,41.0
0,154.63917525773195,0.04124083990296733,0.022252707978793106,1.1718148373644044,0.294980339595837,388,50,98.64765797538362,93.17906363098729,62.746241386263115,2.7968498587426187,0.0,-3.0,6.702598206628649,1,0.0,0.011751897468881408,39.0
0,75.28230865746549,0.03596228591320351,0.016529474586027465,1.6711743513721593,2.7303462576660245,797,0,92.44410993426496,54.61503679988864,54.626451419261976,11.648248994936054,0.0,0.0,0.0,1,,,
0,51.45797598627787,0.0408594510890857,0.01978111716592119,1.59559586166413,1.7569588060165273,1166,50,94.42172073539761,59.47545959813681,57.45529550509445,12.589235675255512,0.0,-3.0,34.208325544383264,1,7.0,0.06798117386971972,255.0
0,50.847457627118644,0.04837134707898297,0.015538558610086196,1.4268361385237824,1.8031841123273757,1180,68,95.36816027944542,61.536298562159466,63.663183478555894,9.964566376533822,0.0,-3.0,66.6828337519314,1,25.0,0.23200603922652083,264.0
0,69.36416184971098,0.04446472835991489,0.02039120620592044,1.5806923536213557,2.2399043704817263,865,130,95.72332289183521,74.16006654086506,62.37160464835175,10.398934325135865,0.0,-3.0,69.37294481921198,1,41.0,0.2656647207982775,370.0
0,40.955631399317404,0.04202822614164754,0.02021181350590204,2.682104482134783,7.801155858696939,1465,143,95.34711022664204,47.07003144872669,57.19014476884058,12.232456206902196,0.0,-3.0,71.79582068995612,1,47.0,0.3040769721722799,373.0
0,55.14705882352941,0.04870306334123212,0.03168241368996193,2.2284422555471526,4.302131160388179,1088,129,90.98371125803627,73.72719702683969,58.067250840011994,13.977153103550338,0.0,-3.0,75.67571636338172,1,52.0,0.3916220772008034,330.0
0,54.39709882139619,0.04482608955814376,0.026695960577289415,2.7473849207559193,7.127893138311219,1103,78,94.46566771180746,58.08881891807586,59.97479002438923,15.936517589030172,0.0,-3.0,31.815593894555306,1,,,
0,53.23868677905945,0.04884766866865959,0.019969702976037552,1.3355983967188498,1.7256375001362763,1127,75,90.84449775455433,62.54431096039374,60.53337488416405,16.03294588372005,0.0,-3.0,31.014690655076596,1,,,
0,56.390977443609025,0.03975339579304385,0.01737228110236954,1.8325238972858817,2.81244212416593,1064,75,95.31370599014116,59.114491502347704,58.89167008905364,16.803804228299928,0.0,-3.0,31.578774390167453,1,,,
