Beats per Second (1000ms),BPM,EGM Mean RV,EGM STD RV,EGM Skewness RV,EGM Kurtosis RV,R-R Interval RV,BP,Max Actual BP,Mean Actual BP,Per Mean,Per STD,Per Skewness,Per Kurtosis,Current Perfusion Grad,Decision,predictedbp,actual_theta,npargmax
0,60.301507537688444,0.8044035645949962,1.5145735401492844,2.16119775066976,3.2162548640412476,995,103,98.74535675984262,57.50479915174849,83.71236685881217,13.37161041207842,0.0,-3.0,48.985822832434266,2,,,
0,60.06006006006006,0.829512110848345,1.502647751626118,2.189993540629236,3.3906018176248836,999,98,98.77230332290085,56.96248841857519,74.40525759876314,16.18612987852262,0.0,-3.0,41.13521444242922,2,,,
0,60.544904137235115,0.8046563208791192,1.4612291151346601,2.17146449934141,3.293802288855196,991,80,96.43902445013222,56.856523982701894,70.42344187613782,18.493068581297898,0.0,-3.0,33.10073755611567,2,,,
0,59.82053838484546,0.7838833272304898,1.4722433187037502,2.2055938926196292,3.4247145483448094,1003,82,98.30499902024283,57.716391393636634,73.99435105606084,15.8231136729627,0.0,-3.0,33.45858162835392,2,,,
0,59.880239520958085,0.8009500360034072,1.4845371479555414,2.209770862996577,3.4882830685151243,1002,74,98.31920802501752,56.93689296883691,71.14712388396627,18.090115575280976,0.0,-3.0,31.604376968955748,2,,,
0,60.42296072507553,0.7907973043137778,1.4359269257433394,2.174731606599258,3.3236648011690537,993,73,98.53281927914061,57.852022732613484,70.7062283925888,18.875599671135582,0.0,-3.0,31.815505087088358,2,,,
0,60.42296072507553,0.7996108105898874,1.402083886842738,2.175500000141459,3.296471569034061,993,71,98.83393505343557,58.13810700723893,68.16345283330274,19.247917386523802,0.0,-3.0,29.795325857258426,2,,,
0,60.60606060606061,0.7882024319772073,1.4837472838520174,2.1631390193711835,3.260333465476931,990,69,98.85460446750814,58.85597955286298,69.43373827491081,18.080347016023694,0.0,-3.0,31.71188597466731,2,,,
0,61.60164271047228,0.8634130425305498,1.4454774136522344,2.204345492112327,3.487848410924917,974,76,98.80246697788488,58.90571183999671,70.84467194225586,17.9672445046255,0.0,-3.0,34.61088580127201,2,,,
0,61.412487205731836,0.7757018654046018,1.3857376626678781,2.1497156382004943,3.162694845234297,977,77,98.72432349043265,58.85899108104443,65.27328463651716,19.808826837311113,0.0,-3.0,35.26445253000034,2,,,
0,60.301507537688444,0.7881587824074305,1.4379745464976494,2.1649422300278576,3.2587925205574635,995,88,98.72761952535296,57.48356495163495,68.46509829609873,17.811878660992317,0.0,-3.0,38.37573563935525,2,,,
0,60.06006006006006,0.7941406983029112,1.4480422444611922,2.1669556536173733,3.283219552833951,999,93,98.8145382881448,57.75789703694246,67.91947001889636,17.917366709567577,0.0,-3.0,38.61461720517161,2,,,
0,59.642147117296226,0.7506554020332055,1.3803910656852205,2.2335904754606783,3.5729327127380843,1006,83,98.52880932641533,57.712997321708386,66.60204685538409,20.68199145358953,0.0,-3.0,35.32985109649481,2,,,
0,60.18054162487462,0.7930704915543964,1.4198402352147934,2.1643196010935366,3.239805557782786,997,89,98.57930910861468,58.816000572647475,67.4687011405718,18.66634004671385,0.0,-3.0,35.451811679505454,2,,,
0,60.42296072507553,0.8089114912819134,1.4718989217800278,2.1623775385956265,3.257230020781881,993,91,98.70879355926667,58.284934834175516,66.78108622001554,18.977586135289354,0.0,-3.0,35.55122827492661,2,,,
0,60.66734074823054,0.7776383581684466,1.4377035408931516,2.1777998561968004,3.3560183846559646,989,87,98.91337669173409,58.77433484317112,68.61275358219903,19.664327967534554,0.0,-3.0,33.36075678634807,2,,,
0,60.544904137235115,0.7870182843159331,1.3909504476938233,2.1674989336357466,3.2584051551531337,991,86,98.4587377974576,58.50591446180589,66.85721977477725,18.563706799865148,0.0,-3.0,32.80007033489714,2,,,
0,60.60606060606061,0.8250094717513535,1.4408308883554852,2.184816536502217,3.3441936815677336,990,84,98.56396949042004,57.349331557769354,66.55888342235997,18.807114292578465,0.0,-3.0,33.270838891535924,2,,,
0,60.851926977687626,0.7695778596257173,1.4536165827120184,2.2043107712294225,3.4541907123105053,986,90,98.72319209140483,58.89330731234445,66.94217674403536,18.74925668020781,0.0,-3.0,35.76664101852677,2,,,
0,75.37688442211055,0.7917532539884475,1.185824128623934,2.5885527305496803,5.85535135849965,796,85,98.76712018607581,62.11672321508449,62.252748047519304,20.56114581175318,0.0,-3.0,34.750311365014205,2,,,
0,91.88361408882082,0.5568318735754778,0.3213054845152398,1.5474667888327664,2.708189387413432,653,95,60.771538409422476,43.503010400779225,59.21565786654968,17.451520853986626,0.0,-3.0,38.64545265873737,2,,,
0,176.99115044247787,0.5524183743600094,0.33226306989679166,0.5242906937851984,-1.1422446848539245,339,90,46.309262139796346,36.403083081439306,57.44216243949626,14.928973988201776,0.0,-3.0,38.475054182161415,2,,,
0,176.99115044247787,0.5989037428651429,0.3320556807381865,0.5470904355831101,-1.1719054648267044,339,65,49.53569279376002,39.892887255493,52.90561920514461,19.749992045688327,0.0,-3.0,28.712376671177704,2,,,
0,181.8181818181818,0.6753612350655821,0.3572008274543385,0.40637013051866705,-1.3587254928429153,330,106,43.903898181400194,39.46011430479702,50.78256845768729,19.037229236119718,0.0,-3.0,75.30989813002863,2,43.0,0.3814457866004303,279.0
0,191.0828025477707,0.6102944974966009,0.331175355659681,0.4822010732513223,-1.1150547531140953,314,50,41.900382138428085,36.88348087899442,51.3798440607925,16.646034026413222,0.0,-3.0,6.947062961284703,2,1.0,0.012184681224861734,254.0
