BP,BPM,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis RV,EGM Mean RV,EGM STD RV,EGM Skewness RV,Max Actual BP,Mean Actual BP,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness,R-R Interval RV
0.0,60.0,1.0,0.0,0.0,2.0,7.003176535322082,0.01153559553455018,0.03315256591240435,2.903344473410109,125.0,11.23155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
0.0,60.0,1.0,0.0,0.0,2.0,3.9021646615872436,0.04349618516611749,0.09128524141573743,2.2309828595639503,125.0,20.80215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
0.0,60.0,1.0,0.0,0.0,2.0,3.2314033646609124,0.09932197206963952,0.19129579846365002,2.0670816466480075,125.0,29.6584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
0.0,60.0,1.0,0.0,0.0,2.0,3.0646299560181474,0.11067328355733841,0.18878481561487484,1.991692553568268,139.1,42.1678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
0.0,60.0,1.0,0.0,0.0,2.0,2.676154849360957,0.1293897871691046,0.18565439555730093,1.8160863237286557,139.1,54.1922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
0.0,60.0,1.0,0.0,0.0,2.0,2.178010539575741,0.15284586973188216,0.1823091365190224,1.583944100172036,139.1,64.19685000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
0.0,68.1044267877412,1.0,0.0,0.0,2.0,0.9205247523132347,0.18967537182300528,0.18501002268821873,1.1395275847978223,139.1,73.05999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0
0.0,65.359477124183,1.0,0.0,0.0,2.0,0.12005841131802342,0.2291650616727994,0.19807696725363685,0.9496726140871872,139.1,82.40395000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918.0
0.0,65.359477124183,1.0,0.0,0.0,2.0,0.4565335787439526,0.24713293197048214,0.18415862188927518,1.0792861449119793,139.1,94.43185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918.0
137.0,65.359477124183,1.0,4.669025358256061,36.23137059834362,2.0,0.8264319196225816,0.27259880608749526,0.16628771307270973,1.302585521227479,139.1,105.16975,-1.1590653288980757,-0.7997891761796229,0.13873010236838218,0.33149980364781306,-1.1590653288980757,0.7997891761796229,0.13873010236838218,-0.33149980364781306,918.0
