Beats per Second (1000ms),BPM,EGM Mean RV,EGM STD RV,EGM Skewness RV,EGM Kurtosis RV,R-R Interval RV,BP,Max Actual BP,Mean Actual BP,Per Mean,Per STD,Per Skewness,Per Kurtosis,Current Perfusion Grad,Decision,predictedbp,actual_theta,npargmax
0,122.95081967213115,0.10085079001684734,0.15568812693207748,2.2951963912726017,4.016545039176148,488,50,98.21444212709129,87.00750548693088,89.10288088761972,2.1149482340035477,0.0,-3.0,40.091522139900526,3,6.0,0.08418253337606409,185.0
0,102.91595197255575,0.16250027969768618,0.19961801013524283,1.3414168276177674,0.23798008552264216,583,50,88.01438999797323,84.52564315163094,92.0928465655707,2.790811612015664,0.0,-3.0,40.06369307631324,3,6.0,0.08409957569129252,175.0
0,103.27022375215147,0.14225847156589164,0.18974065012264898,1.3997937038890174,0.532127919301479,581,0,56.48067125278844,34.03480200769121,79.72093570020019,10.100733886878421,0.0,0.0,0.0,3,,,
0,103.44827586206897,0.11292651256331031,0.13131262647913702,1.5944669612811995,1.3324316404749013,580,50,95.09715971350064,51.60660493284972,71.61073547481375,7.663766187031389,0.0,-3.0,56.55006252598469,3,14.0,0.1513707196912754,227.0
0,102.21465076660988,0.11826117050146975,0.1525877301602742,1.8456839878395321,2.622774695811093,587,50,95.09715971350064,60.58819006967918,75.12188692400234,7.141309531410148,0.0,-3.0,57.594679981241114,3,13.0,0.1575424506041333,204.0
0,103.62694300518135,0.1668073560540188,0.20305478210950448,1.2950885610911114,0.12882063884106465,579,50,58.1083023599004,37.165584414079945,73.45439478353379,8.419724932923733,0.0,-3.0,60.69433897318701,3,15.0,0.1781566565160123,206.0
0,102.04081632653062,0.14038961974091202,0.1851353493351871,1.3956163807491377,0.5224979746898581,588,60,91.30552835063803,46.861992015085484,66.30882405145333,7.676428712758393,0.0,-3.0,69.95070631122576,3,27.0,0.2740140055384452,241.0
0,104.16666666666667,0.1421771613158142,0.17934543033831007,1.3381593422846056,0.4069584651272091,576,91,94.30325258587777,56.767542253396385,63.704661934609085,9.028667184013214,0.0,-3.0,78.96994422521169,3,53.0,0.5130184663507033,262.0
0,101.69491525423729,0.14935926400309055,0.1918410385358989,1.4208143496084296,0.6126877511153932,590,65,92.62057778145973,49.59886645313495,62.05668904126701,10.81467247666667,0.0,-3.0,32.73956251153938,3,,,
0,103.27022375215147,0.12936351244378247,0.1581524122563769,1.3057188094621341,0.18132895076000244,581,68,94.24313999966958,62.31372451646516,68.41458677747724,10.275413136341248,0.0,-3.0,75.9796237161946,3,39.0,0.40047131093136296,241.0
0,104.16666666666667,0.14250830032547712,0.173963881199152,1.2298974909609406,0.05205412708375956,576,79,64.85869445421653,42.98224689052279,64.69064610626815,11.338740162571007,0.0,-3.0,78.40374818845748,3,47.0,0.487323862031671,245.0
0,98.36065573770492,0.11546159822519458,0.16053250695466084,1.9445516623550323,2.7223484751480607,610,94,95.25937981311439,54.40042265765967,59.293254516729846,11.121595530059667,0.0,-3.0,80.20982441889548,3,57.0,0.5795306965106918,256.0
0,107.14285714285714,0.10795267377539262,0.1665675353067908,2.201818974605477,3.9101335226246983,560,67,95.04450141418297,60.27593983320917,66.44020961897257,11.842981295298495,0.0,-3.0,75.15066819768334,3,36.0,0.37716960185591925,237.0
