Beats per Second (1000ms),BPM,EGM Mean RV,EGM STD RV,EGM Skewness RV,EGM Kurtosis RV,R-R Interval RV,BP,Max Actual BP,Mean Actual BP,Per Mean,Per STD,Per Skewness,Per Kurtosis,Current Perfusion Grad,Decision
0,357.14285714285717,0.32123756407382004,0.22878183692959378,0.6274594818376427,-1.2210102872325537,168,0,0.9424863827630378,0.9278222952601032,0.972485650488651,0.012070369091329709,0.0,-3.0,0.36016390312622204,3
0,77.92207792207792,0.128094053581698,0.21286272246774646,1.7668062963407303,1.6127121990102484,770,0,0.9711356121079986,0.8268625490097543,0.9291707118224678,0.03656535415392142,0.0,0.0,0.0,3
0,77.72020725388602,0.12758605616177152,0.20638733772839885,1.7633842297824198,1.604888082785533,772,0,0.9207431005133068,0.4924895253344683,0.7848966602870665,0.09949271350183758,0.0,0.0,0.0,3
0,78.53403141361257,0.155573671974041,0.2575920228019225,1.8725626577774401,2.217291101607027,764,0,0.9079759302179063,0.4984660584990859,0.7279299451806814,0.10772002411077598,0.0,0.0,0.0,3
0,77.82101167315174,0.17892328988144693,0.31251980602749496,1.8499672285383348,1.9346401426551347,771,0,0.8970659244042618,0.46494884743437903,0.7092440594859825,0.1209505055811464,0.0,0.0,0.0,3
0,77.82101167315174,0.14436304934543154,0.2516237836680875,2.351629929537638,4.918401052609935,771,0,0.895094047279011,0.4720265276694575,0.6958566201843289,0.1265729871749653,0.0,0.0,0.0,3
0,77.22007722007721,0.11972806845496758,0.19312861217195662,1.7957655857257284,1.8175800431249582,777,20,0.9268101743273222,0.4938096067979549,0.6846870711658745,0.13596237457938945,0.0,-3.0,4.410242747271821,3
0,78.43137254901961,0.1365073604055157,0.2153545151671421,1.7552426153069056,1.5801718959598077,765,29,0.9161128057237602,0.4850415807628077,0.6514632789102673,0.1596936383863142,0.0,-3.0,6.376476917471734,3
0,77.41935483870968,0.13732958919227334,0.21877853942634035,1.7505007077633425,1.5574126337176475,775,43,0.9170405131466621,0.4848965734887072,0.6694821603832294,0.16527067623593733,0.0,-3.0,9.42872324241931,3
0,78.84362680683311,0.16659379657309953,0.2933242963597161,1.9459129229551735,2.576306307196462,761,50,0.8716383807933833,0.4508765225075949,0.6942054475795723,0.17068210620396104,0.0,-3.0,10.946375721660523,3
