!Max Actual BP,!Mean Actual BP,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis,EGM Mean,EGM STD,EGM Skewness,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness,!BP,Per_similarity
0.728,0.11794666666666667,1.0,0.0,0.0,0.0,3.473336562995919,0.007802945655932691,0.01738143823886965,2.20553717536046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.728,0.23111250000000003,1.0,0.0,0.0,0.0,1.4367564095463994,0.011768597262307954,0.017696206711890587,1.5175120637672663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.728,0.34427916666666664,1.0,0.0,0.0,0.0,1.4582756325763082,0.01429436485124337,0.016787777651381057,1.3929871047273141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.985,0.465825,1.0,0.0,0.0,0.0,3.6968828014801085,0.02274002762071511,0.023777701612777983,1.8366792388611348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.358,0.6659191666666667,2.0,4.222685738632439,8.399991132640867,0.0,1.8124361800783353,0.034590100027827156,0.03196309777249998,1.639248878493119,-1.1518994523645214,0.5763121407482789,0.36896780652288774,-0.7707605204739536,-0.46316586679285665,0.7100674790058324,0.12578520860899023,-0.9019054848551111,[5.67046273],
1.358,0.8647250000000001,1.0,33.24218512488551,54.7351668123195,0.0,3.2062482987789584,0.03291949885729857,0.030376544007236456,2.1129332536840657,-1.1459532231255938,0.16146464504650573,0.22810106541572903,0.8128108195840016,-1.6614133380147802,0.6735315122024164,0.09295860973952148,-0.2082343524688299,[71.43529752],-1.569277599949432
1.358,0.9180741666666665,1.0,41.25754610480689,52.543728945857644,0.0,3.107095246167206,0.032275862936548244,0.030732265093014806,2.0831527918188777,-1.1459532231255944,0.14903063352551468,0.21053554031571334,0.8128108195840016,-1.6614133380147815,0.6406462560356918,0.08580008643466046,-0.20823435246882877,[68.57523469],-1.569277599949432
1.358,0.9658908333333333,1.0,42.92394209336702,52.543728945857644,0.0,3.224469343180991,0.03347591949332601,0.030153573379158017,2.1161738870163873,-1.1459532231255944,0.14903063352551468,0.21053554031571334,0.8128108195840016,-1.6614133380147815,0.6179910999072037,0.08580008643466046,-0.20823435246882877,[68.57523469],-1.569277599949432
1.358,1.0012258333333333,1.0,43.895344508348145,67.192262016538,0.0,2.8082846982010565,0.03333215564509787,0.03108125386172666,2.0373429010040667,-1.0688615677610835,0.5514439394481105,0.33615349819853924,-0.5395820952605741,-0.9554030883323001,0.5661491051046862,0.20951554648582482,-0.45539963132236666,[104.82859386],-1.569277599949432
1.358,1.0182891666666665,1.0,54.85789396954145,68.45801425511787,0.0,1.9147120937255053,0.019063380261975307,0.0039941516441262745,1.0083236487024425,-1.2068688915560568,0.5358978114417057,0.33937185399314523,-0.4425571044016025,-0.8149679683013886,0.6137226279643619,0.22821692071888963,-0.5324306482244765,[106.80333058],-1.569277599949432
1.326,0.9508933333333335,0.0,57.711973361061226,71.16122958107744,0.0,8.114749379798205,0.01943059063141464,0.005938802686734319,2.457456648536665,-1.810614640170905,0.3866969336071929,0.36183721098455307,0.07307662166772062,-0.37677767835507003,0.6735700147136333,0.2223185861289091,-1.0859703128743825,[123.29702196],0.9165674114989093
