!Max Actual BP,!Mean Actual BP,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis,EGM Mean,EGM STD,EGM Skewness,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness,!BP,Per_similarity
0.723,0.09920749999999999,1.0,0.0,0.0,0.0,3.696475060861168,0.004484138393013933,0.009731233694656652,2.2520699931212795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.919,0.23818083333333334,1.0,0.0,0.0,0.0,7.192857593005222,0.0095373969949742,0.016054780250765906,2.431446179847901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.919,0.3427533333333333,0.0,0.0,0.0,0.0,15.579167571547412,0.1276051816867836,0.3807963835911696,4.027195915639215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.919,0.4418458333333334,1.0,0.0,0.0,0.0,4.141437388670209,0.279387299567482,0.5959904301942097,2.3542656380521647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.949,0.5773516666666667,1.0,0.0,0.0,0.0,4.160258336567817,0.2828792475115403,0.5943988657908424,2.3591846582131066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.949,0.6935766666666666,1.0,27.48013972777605,46.13026949997096,0.0,4.145314367678079,0.30473469078779153,0.5871941511267795,2.346231548476183,0.04364130472202188,0.7616520255248855,0.1990002996224826,-0.916528583140432,0.04364130472202188,0.7224378408755752,0.1990002996224826,-0.916528583140432,[106.9157372],
0.949,0.6958233333333333,2.0,40.92128473407721,46.13026949997096,0.0,0.026683710855315734,0.5609805172510042,0.7678574355396869,1.2742536050348487,0.04364130472202188,0.7616520255248855,0.1990002996224826,-0.916528583140432,0.04364130472202188,0.7209286636923431,0.1990002996224826,-0.916528583140432,[106.9157372],1.0
0.974,0.6775358333333333,2.0,40.92128473407721,46.13026949997096,0.0,0.005679166608195896,0.5479727058075015,0.7755082796651047,1.2657559881680882,0.04364130472202188,0.7616520255248855,0.1990002996224826,-0.916528583140432,0.04364130472202188,0.7209286636923431,0.1990002996224826,-0.916528583140432,[106.9157372],1.0
0.974,0.7066283333333333,1.0,48.91831044077742,65.89915948232738,0.0,4.191418737538417,0.3101641049823732,0.6140858755574471,2.363588890879498,1.2471045474214995,0.5995069492624452,0.21978961038208344,-1.3161879560270047,-0.10024795694610455,0.6459247162378856,0.1569957783727247,-0.7740447140851211,[132.46826036],1.0
0.974,0.7111249999999999,2.0,51.037249038751604,68.21571924120043,0.0,0.10003824923279137,0.5613604223904203,0.8088264635875642,1.320997446556122,1.247104547421503,0.6710391278082659,0.2460145435070623,-1.316187956027006,-0.10024795694610411,0.7053057503800146,0.17572825522443455,-0.7740447140851215,[137.1249304],1.0
0.974,0.6819841666666666,2.0,51.037249038751604,68.21571924120043,0.0,0.011054402928420082,0.5812520616724058,0.8062967317797839,1.2663939993123385,1.247104547421503,0.6710391278082659,0.2460145435070623,-1.316187956027006,-0.10024795694610411,0.7053057503800146,0.17572825522443455,-0.7740447140851215,[137.1249304],1.0
0.974,0.7103900000000001,1.0,51.6618793418905,65.75451661730189,0.0,3.141995332225254,0.36805776490938413,0.6564701145837467,2.0970380811410467,-0.7380425640483375,0.5797155833416944,0.3145980550080976,-0.7406044820209808,-1.0625253577831564,0.6519502008614109,0.1984331950848919,-0.5421223024758628,[136.12310131],1.0
0.974,0.7142716666666666,1.0,60.701009903403694,62.63580979034063,0.0,1.2302915784418582,0.47995286418677313,0.765806721483502,1.667291264711223,-0.7380425640483397,0.5044609705026665,0.27375914104778243,-0.7406044820209785,-1.0625253577831555,0.5677473132685269,0.17267398884716179,-0.5421223024758637,[129.66684451],1.0
0.973,0.6947325,2.0,60.701009903403694,62.63580979034063,0.0,0.001162454895084153,0.6108672038303679,0.8281475526668959,1.2608575848252104,-0.7380425640483397,0.5044609705026665,0.27375914104778243,-0.7406044820209785,-1.0625253577831555,0.5677473132685269,0.17267398884716179,-0.5421223024758637,[129.66684451],1.0
0.973,0.7004058333333334,1.0,66.89857067175144,63.36344580659897,0.0,0.5508246521743057,0.5242268588197607,0.8227909534789117,1.475192031167263,-0.005052238604523307,0.6650076105405065,0.25069015746444473,-0.8776518403284439,-1.0245143903047949,0.673305949886602,0.2120644357633499,-0.5580256208499084,[158.73855305],0.7134687761280747
0.973,0.7044966666666667,1.0,65.72701848310332,63.36344580659897,0.0,3.0211864216677062,0.3856299697698619,0.6715716415354136,2.0737257053536755,-0.005052238604523307,0.6650076105405065,0.25069015746444473,-0.8776518403284439,-1.0245143903047949,0.6568179924370808,0.2120644357633499,-0.5580256208499084,[158.73855305],0.8934008829269638
0.973,0.6979341666666666,2.0,65.72701848310332,63.36344580659897,0.0,0.012362267582716857,0.6043593329662877,0.8197678860833721,1.2641527544113167,-0.005052238604523307,0.6650076105405065,0.25069015746444473,-0.8776518403284439,-1.0245143903047949,0.6568179924370808,0.2120644357633499,-0.5580256208499084,[158.73855305],0.8934008829269638
0.939,0.6860575,2.0,65.72701848310332,63.36344580659897,0.0,-0.014555181911530823,0.581824705754107,0.832477334715021,1.2578386917150919,-0.005052238604523307,0.6650076105405065,0.25069015746444473,-0.8776518403284439,-1.0245143903047949,0.6568179924370808,0.2120644357633499,-0.5580256208499084,[158.73855305],0.8934008829269638
0.939,0.6937325000000001,1.0,63.96071439239333,54.572972449026295,0.0,4.159850507552626,0.32329980712868917,0.6286396850300635,2.351960350080416,-0.19431304995153376,0.6207035087960563,0.2922303590315219,-0.9616111880118234,-0.4044625863179405,0.6935767441977158,0.19889949323102935,-0.7651812235695445,[116.65937165],0.8424683636410983
0.939,0.692735,2.0,61.96672633948624,55.46230756382217,0.0,0.012748067530421014,0.5829751581535251,0.8010027137752902,1.2687946315610015,-0.19431304995153198,0.6415573515271261,0.30204845392244317,-0.9616111880118223,-0.4044625863179392,0.7255569061939976,0.20558194095744015,-0.7651812235695451,[118.56048261],0.8508217340103827
0.944,0.681815,2.0,61.96672633948624,55.46230756382217,0.0,-0.009143760439754622,0.5708335863480515,0.8085726566878084,1.260402635128913,-0.19431304995153198,0.6415573515271261,0.30204845392244317,-0.9616111880118223,-0.4044625863179392,0.7255569061939976,0.20558194095744015,-0.7651812235695451,[118.56048261],0.8508217340103827
0.944,0.69411,1.0,61.77678341361395,68.77435340050476,0.0,4.180503284515771,0.31480394011535684,0.623960631201028,2.3592064385302756,0.3600102984828495,0.6694277130446844,0.26497557639329533,-1.0316968537612479,-0.5015822719414103,0.6829058435783572,0.2052627533849151,-0.6721742690257267,[145.98563224],0.7585792440670722
0.944,0.6963608333333333,2.0,59.53011324188804,66.48898329195353,0.0,0.009870703832114636,0.573896719951732,0.8111241446264819,1.2724377749262668,0.3600102984828455,0.5976417663615498,0.2365609735487425,-1.0316968537612472,-0.5015822719414107,0.6505876783555585,0.1832514431517228,-0.6721742690257269,[141.13453319],1.0
0.956,0.6910041666666666,2.0,59.53011324188804,66.48898329195353,0.0,0.0039025561181200707,0.5728120587907993,0.8121921245577266,1.2682279603909805,0.3600102984828455,0.5976417663615498,0.2365609735487425,-1.0316968537612472,-0.5015822719414107,0.6505876783555585,0.1832514431517228,-0.6721742690257269,[141.13453319],1.0
0.956,0.7035808333333333,1.0,58.93336927301339,67.89086100489035,0.0,2.891600724396877,0.3709017166298077,0.6566740913422974,2.0497793736280303,-0.8429745556542025,0.5850692456845593,0.30621562887538334,-0.5928095668471995,-1.1305097876651136,0.6043638071151616,0.23267959616270206,-0.4477858624889384,[157.35007691],0.9286227625321725
0.956,0.7068058333333332,2.0,64.92809901578671,67.89086100489035,0.0,0.020716218432731193,0.5813866497423498,0.8291561147860632,1.2828765074050514,-0.8429745556542025,0.5850692456845593,0.30621562887538334,-0.5928095668471995,-1.1305097876651136,0.6277711070456669,0.23267959616270206,-0.4477858624889384,[157.35007691],0.9674949672364742
0.992,0.7101516666666666,2.0,64.92809901578671,67.89086100489035,0.0,0.01327791253399413,0.5892699432975737,0.8261740397391382,1.2726128971254258,-0.8429745556542025,0.5850692456845593,0.30621562887538334,-0.5928095668471995,-1.1305097876651136,0.6277711070456669,0.23267959616270206,-0.4477858624889384,[157.35007691],0.9674949672364742
0.992,0.7202283333333332,1.0,67.3485899690604,68.23645304432405,0.0,1.5584477883752523,0.44474137947818027,0.7361037775188026,1.7543608281502452,-1.2471239983959659,0.48990494866242906,0.31497320462388756,-0.47046482760943037,-1.0397642325502816,0.635094888509999,0.19604613816460037,-0.5480503617082644,[127.95392611],0.9583668841691678
