BP,BPM,Beats per Second (1000ms),Cumulative Perfusion Grad,Current Perfusion Grad,Decision,EGM Kurtosis RV,EGM Mean RV,EGM STD RV,EGM Skewness RV,Max Actual BP,Mean Actual BP,Per Cum. Kurtosis,Per Cum. Mean,Per Cum. STD,Per Cum. Skewness,Per Kurtosis,Per Mean,Per STD,Per Skewness,R-R Interval RV
0.0,60.0,1.0,0.0,0.0,1.0,6.178175759076918,0.008143425498049571,0.021968101077595285,2.7367835880175306,83.2,7.4946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
0.0,269.05829596412553,1.0,0.0,0.0,1.0,1.6792339294048286,0.018739454979545385,0.03657584088559378,1.7560042051947333,83.2,14.411299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0
0.0,269.05829596412553,1.0,0.0,0.0,1.0,-0.39228908594277456,0.02732391478757899,0.041299675612277424,1.0846975802640104,83.2,20.89115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0
0.0,269.05829596412553,1.0,0.0,0.0,1.0,-1.198151218472462,0.035802810385694536,0.042654731917011586,0.6184249022324928,83.2,27.032449999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0
0.0,269.05829596412553,1.0,0.0,0.0,1.0,9.907087414332123,0.12422410201863306,0.2778361639781344,3.2641008219075225,131.2,35.72154999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0
0.0,269.05829596412553,1.0,0.0,0.0,1.0,9.987528890010186,0.12937027202001508,0.2760927270813589,3.277254489554655,160.4,49.95250000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0
0.0,269.05829596412553,1.0,0.0,0.0,1.0,10.101490424151049,0.1369458812046203,0.27355727394546575,3.29561209029054,160.4,60.84919999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0
0.0,269.05829596412553,1.0,0.0,0.0,1.0,10.148964100314643,0.15217992993924967,0.2694430431109258,3.2936689474834933,160.4,69.62935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0
0.0,65.93406593406593,1.0,0.0,0.0,1.0,3.969667963076092,0.21790976578365634,0.3358097777173719,2.312278270900041,160.4,77.24499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0
0.0,64.034151547492,1.0,0.0,0.0,1.0,3.0069118847944516,0.28481561057324833,0.4172055989121764,2.0681064635139923,160.4,88.46665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0
152.0,64.034151547492,1.0,,30.681903052949945,1.0,3.0161877712076812,0.2871929762867066,0.4161968352080827,2.06934773520553,160.4,94.30905000000001,-0.7425940535285163,-0.7570446485137192,0.13010748138719133,0.845056002401678,-0.7425940535285163,0.7570446485137192,0.13010748138719133,-0.845056002401678,937.0
143.0,64.034151547492,1.0,,28.93838577223806,1.0,2.9913337489500726,0.28269346791373434,0.4182514699543895,2.0642915483820765,160.4,97.4399,-0.7425940535285185,-1.4625095588338233,0.2513503471402091,0.8450560024016757,-0.7425940535285185,0.7054649103201045,0.1212428657530178,-0.845056002401676,937.0
134.0,64.034151547492,1.0,,27.201570356411683,1.0,2.9988058455682234,0.2850800834944873,0.41727030422838596,2.064624425249864,160.4,99.26905,-0.7425940535285176,-2.1182908396075684,0.36405446696966576,0.8450560024016764,-0.7425940535285194,0.6557812807737503,0.11270411982945662,-0.8450560024016753,937.0
134.0,65.50218340611353,1.0,,27.201570356411683,1.0,0.6686556712991143,0.390693925683949,0.5208670797120352,1.480156326754263,160.4,101.67504999999998,-0.7425940535285176,-2.1182908396075684,0.36405446696966576,0.8450560024016764,-0.7425940535285194,0.6557812807737503,0.11270411982945662,-0.8450560024016753,916.0
106.0,64.37768240343348,1.0,,24.689160299366677,1.0,2.2041959464312315,0.33822956137024196,0.4766450835951008,1.894089673602982,162.1,107.43215,-0.9605148981146328,-2.8946027811866957,0.45902265993128505,0.7523395684885174,-1.0143991316027998,0.7814527759460017,0.08058170248582092,-0.4044297229920337,932.0
128.0,64.37768240343348,1.0,,29.795339421030945,1.0,2.2183706069550464,0.33551353612766005,0.4773219731267303,1.9018613409426257,162.1,105.38034999999999,-0.9193571947756305,-3.633516017848868,0.5536322049205736,0.7275354181419446,-0.9637906817237667,0.7389132366621785,0.09971522776365833,-0.4476297659427322,932.0
162.0,64.37768240343348,1.0,31.447424110503437,37.725989861667045,1.0,2.24278837773471,0.3398740820107868,0.47506065261100355,1.9089238069990313,162.1,103.92860000000002,-0.6194936909981723,0.7182668564746264,0.10748974106892897,-0.7526358170070865,-0.839440646552001,0.6745331530256725,0.13250550088716156,-0.5388137001435532,932.0
162.0,64.37768240343348,1.0,32.09935615169446,37.725989861667045,1.0,1.010158034491365,0.38999040537588703,0.49573314316939787,1.5555226832705162,162.1,103.30845,-0.6249529401528648,0.7034814870321513,0.10696066871618756,-0.6532371886037261,-0.839440646552001,0.6745331530256725,0.13250550088716156,-0.5388137001435532,932.0
162.0,67.79661016949153,1.0,32.09935615169446,37.725989861667045,1.0,1.2259502669251816,0.38459168316028636,0.4955161632111717,1.6062176724936206,162.2,107.3439,-0.6249529401528648,0.7034814870321513,0.10696066871618756,-0.6532371886037261,-0.839440646552001,0.6745331530256725,0.13250550088716156,-0.5388137001435532,885.0
106.0,67.79661016949153,1.0,32.90760840990859,31.67021314944897,1.0,1.7654276229227435,0.36551520226246603,0.48526624768110765,1.7494428304545768,170.5,110.92120000000001,-0.738575276148218,0.7012797221926226,0.09888705728187906,-0.449642242827041,-1.5069262918064827,0.7073866425535595,0.10318620899239268,-0.2387965210559678,885.0
106.0,67.79661016949153,1.0,32.056379839468086,31.772681877300553,1.0,2.1763947138863777,0.33979930114505935,0.4845473517948476,1.8965929470351437,170.5,108.64855,-1.052291328261176,0.7126851146002924,0.10033187833961368,-0.385489264192407,-1.505995974897434,0.6998155442475712,0.10360851202687658,-0.24030597940151857,885.0
99.0,67.79661016949153,1.0,31.748638997992547,29.623156919060264,1.0,2.1931018913989195,0.3431283621502007,0.482852826801105,1.9013324385680859,170.5,107.62650000000001,-1.1756549906991287,0.6894621759948982,0.10126238646042574,-0.33322183257873905,-1.505995974897432,0.6424707197067123,0.09511854350308685,-0.2403059794015234,885.0
99.0,67.79661016949153,1.0,31.748638997992547,29.623156919060264,1.0,0.18979780599964258,0.44826339835610496,0.5481040972331019,1.3205825139189018,170.5,107.96915,-1.1756549906991287,0.6894621759948982,0.10126238646042574,-0.33322183257873905,-1.505995974897432,0.6424707197067123,0.09511854350308685,-0.2403059794015234,885.0
99.0,65.78947368421052,1.0,31.748638997992547,29.623156919060264,1.0,2.0627718006970204,0.3562713882034087,0.47593737174773454,1.856916914982372,170.5,114.1671,-1.1756549906991287,0.6894621759948982,0.10126238646042574,-0.33322183257873905,-1.505995974897432,0.6424707197067123,0.09511854350308685,-0.2403059794015234,912.0
136.0,65.78947368421052,1.0,33.77371619253413,32.86519912392754,1.0,2.0990092041597475,0.3410243854183616,0.4808808608125508,1.8817753157656718,170.5,112.82135,-0.8994651474940967,0.6849885821072035,0.09609168948325997,-0.32811792567387893,-0.6999814750551674,0.7195264378837245,0.10780387465803705,-0.6913252732306584,912.0
136.0,65.78947368421052,1.0,32.762584013986014,32.86519912392754,1.0,2.130399598345626,0.34746682585802946,0.47759786634854495,1.8907846476728376,170.5,110.61309999999997,-0.8785803081142576,0.6927268773152279,0.09261931438096113,-0.3235342199620851,-0.6999814750551674,0.7195264378837245,0.10780387465803705,-0.6913252732306584,912.0
136.0,65.78947368421052,1.0,31.685206071713512,32.86519912392754,1.0,1.6906870373422462,0.37072400971989083,0.4799393476516957,1.735617784055431,170.5,109.73604999999999,-0.8657348476157889,0.7004651725232508,0.08944540759553724,-0.3201466955376019,-0.6999814750551674,0.7195264378837245,0.10780387465803705,-0.6913252732306584,912.0
136.0,71.00591715976331,1.0,31.685206071713512,32.86519912392754,1.0,0.5828295629912739,0.4065682953671187,0.5059061106210911,1.4549182507693612,170.5,112.40990000000002,-0.8657348476157889,0.7004651725232508,0.08944540759553724,-0.3201466955376019,-0.6999814750551674,0.7195264378837245,0.10780387465803705,-0.6913252732306584,845.0
121.0,65.57377049180327,1.0,32.34037284383013,34.38265419450709,1.0,1.792627824160852,0.362051505135992,0.4659619515412649,1.76802212699426,171.5,116.07694999999998,-0.7940751209623587,0.7099372026227386,0.09150368844485111,-0.37759639455572724,-1.1040847572283545,0.7704821822104101,0.10013686117020278,-0.4332769586322666,915.0
139.0,65.57377049180327,1.0,34.54660187451819,39.389868736998295,1.0,2.0029587949754637,0.343780237618901,0.46780890750767085,1.8528113261740307,171.5,112.93200000000002,-0.7223152014035414,0.7152465539054079,0.09675402442010306,-0.4528423760635195,-1.0439527794514447,0.7350571738496805,0.11911633600176634,-0.4733660761696592,915.0
139.0,65.57377049180327,1.0,34.669114187854575,39.389868736998295,1.0,1.9768332147210526,0.33910066982170783,0.4702974915549466,1.8447531011501743,171.5,111.2757,-0.7533793931822435,0.7291323553267208,0.1042167681140298,-0.4877128820649669,-1.0439527794514447,0.7350571738496805,0.11911633600176634,-0.4733660761696592,915.0
139.0,65.57377049180327,1.0,34.669114187854575,39.389868736998295,1.0,0.31493381838326906,0.42010833466737785,0.514517788415269,1.358923152554175,171.5,110.75864999999997,-0.7533793931822435,0.7291323553267208,0.1042167681140298,-0.4877128820649669,-1.0439527794514447,0.7350571738496805,0.11911633600176634,-0.4733660761696592,915.0
139.0,63.96588486140725,1.0,34.669114187854575,39.389868736998295,1.0,1.9758834871746451,0.33589291548532174,0.4524396369211268,1.8337495603136178,174.0,116.59955,-0.7533793931822435,0.7291323553267208,0.1042167681140298,-0.4877128820649669,-1.0439527794514447,0.7350571738496805,0.11911633600176634,-0.4733660761696592,938.0
28.0,63.96588486140725,1.0,31.864001948393415,13.73871081611234,1.0,1.9981054567772114,0.3191491531233998,0.45836045385706103,1.8554428473170113,174.0,116.20100000000002,-0.9611612806563392,0.720888181882688,0.08553390900633343,-0.29346389798885,-0.6815495670933807,0.6719879946087814,0.10674948898282578,-0.8273968435308486,938.0
28.0,63.96588486140725,1.0,29.424173692406786,13.73871081611234,1.0,1.9962380928072516,0.31785773391671046,0.4589006202598024,1.8558848034149593,174.0,113.63974999999999,-1.4028380613857137,0.7120193521860569,0.07416677042958784,0.0036181147355316295,-0.6815495670933807,0.6719879946087814,0.10674948898282578,-0.8273968435308486,938.0
28.0,63.96588486140725,1.0,27.434264988601495,13.73871081611234,1.0,1.9786834026182847,0.32795108851675725,0.4554768971020074,1.8410094043839564,174.0,112.5823,-1.397731776926739,0.7065295159273229,0.07601757014291474,-0.12596992660628603,-0.6815495670933807,0.6719879946087814,0.10674948898282578,-0.8273968435308486,938.0
28.0,67.0391061452514,1.0,27.434264988601495,13.73871081611234,1.0,1.1445235255802126,0.35538668687987796,0.4570771306513561,1.5653375339228366,174.0,113.87175,-1.397731776926739,0.7065295159273229,0.07601757014291474,-0.12596992660628603,-0.6815495670933807,0.6719879946087814,0.10674948898282578,-0.8273968435308486,895.0
116.0,65.14657980456026,1.0,28.528505434239836,38.645380036626456,1.0,1.8884481390448302,0.32626024762357086,0.4474051988942054,1.7938399285661035,174.0,118.83595,-1.3546356101958328,0.6810271519265774,0.08451239747346417,-0.12139315312072449,-1.3317204738363861,0.6643724731081425,0.10025742424549507,-0.1551327481988554,921.0
116.0,65.14657980456026,1.0,30.402103677479143,38.645380036626456,1.0,2.1442202104705705,0.30942018822768425,0.4478762834630644,1.8927114504576248,174.0,115.75565,-1.3816420604082735,0.6694705482178691,0.08463074728430368,-0.08267470780734992,-1.3317204738363861,0.6643724731081425,0.10025742424549507,-0.1551327481988554,921.0
120.0,65.14657980456026,1.0,30.139559434387685,39.823731211436304,1.0,2.135561339480242,0.308737997058877,0.44835553730115557,1.8891693825140574,174.0,113.66659999999999,-1.3885166036581842,0.6633660574494045,0.08495658926054628,-0.04462130751577846,-1.3317204738363861,0.6928583905965753,0.10455610432370348,-0.15513274819885484,921.0
124.0,65.14657980456026,1.0,34.98448164355687,41.196194767151255,1.0,1.0597828404991363,0.3550658000145119,0.4615093099625593,1.5640201579326467,174.0,112.45875000000001,-1.5027535736888311,0.6764319108721213,0.0869414801621452,0.05282006491678599,-1.3317204738363861,0.72729562603193,0.10975287068991389,-0.15513274819885453,921.0
