Beats per Second (1000ms),BPM,EGM Mean RV,EGM STD RV,EGM Skewness RV,EGM Kurtosis RV,R-R Interval RV,BP,Max Actual BP,Mean Actual BP,Per Mean,Per STD,Per Skewness,Per Kurtosis,Current Perfusion Grad,Decision
0,60.301507537688444,0.804403564594961,1.5145735401492022,2.161197750669816,3.216254864041524,995,187,0.9874535675984263,0.575047991517485,0.7744530412131178,0.2369133494788375,0.0,-3.0,65.13542125800653,1
0,60.06006006006006,0.82951211084835,1.5026477516260757,2.1899935406291586,3.39060181762449,999,176,0.9877230332290086,0.5696248841857519,0.7170441550194803,0.1982052026430934,0.0,-3.0,56.24267155952969,1
0,60.544904137235115,0.8046563208791371,1.461229115134712,2.1714644993414,3.2938022888551233,991,157,0.9643902445013224,0.5685652398270189,0.6979313891898711,0.19129757021454613,0.0,-3.0,49.73712031836298,1
0,59.82053838484546,0.7838833272304898,1.4722433187037502,2.2055938926196292,3.4247145483448094,1003,171,0.9830499902024281,0.5771639139363663,0.7246215175954309,0.1771849129296351,0.0,-3.0,53.05428218092197,1
0,59.880239520958085,0.8009500360034072,1.4845371479555414,2.209770862996577,3.4882830685151243,1002,158,0.983192080250175,0.569368929688369,0.7039027053363265,0.1874021831386959,0.0,-3.0,51.1512447063959,1
0,60.42296072507553,0.7907973043137778,1.4359269257433394,2.174731606599258,3.3236648011690537,993,158,0.985328192791406,0.5785202273261347,0.7062337144936705,0.18875082187163386,0.0,-3.0,51.9984779447824,1
0,60.42296072507553,0.7996108105899306,1.4020838868428307,2.175500000141474,3.2964715690341375,993,155,0.9883393505343556,0.5813810700723893,0.6827196465519675,0.19021805583533785,0.0,-3.0,49.33482636148622,1
0,60.60606060606061,0.7882024319772236,1.4837472838520673,2.1631390193712168,3.260333465477107,990,160,0.9885460446750816,0.5885597955286298,0.6937129158338744,0.18058092759221528,0.0,-3.0,54.501669360281625,1
0,61.60164271047228,0.8634130425305083,1.445477413652103,2.204345492112237,3.487848410924406,974,165,0.9880246697788487,0.5890571183999671,0.707578097254809,0.17945108084822495,0.0,-3.0,55.826064337747866,1
0,61.412487205731836,0.7757018654046294,1.3857376626679372,2.1497156382004943,3.162694845234312,977,158,0.9872432349043265,0.5885899108104444,0.6570928938875865,0.19022657020656955,0.0,-3.0,53.97319483184801,1
0,60.301507537688444,0.788158782407386,1.4379745464975628,2.1649422300278895,3.2587925205576465,995,174,0.9872761952535297,0.5748356495163496,0.6790804911012401,0.18773858740038124,0.0,-3.0,57.00244268515853,1
0,60.06006006006006,0.7941406983029107,1.448042244461195,2.1669556536173964,3.2832195528340717,999,176,0.988145382881448,0.5775789703694245,0.6714244356043124,0.1921349334997527,0.0,-3.0,55.73929529181356,1
0,59.642147117296226,0.7506554020332055,1.3803910656852205,2.2335904754606783,3.5729327127380843,1006,164,0.9852880932641532,0.5771299732170839,0.6736637024543621,0.19582493120969696,0.0,-3.0,53.01027186114222,1
0,60.18054162487462,0.7930704915543964,1.4198402352147934,2.1643196010935366,3.239805557782786,997,168,0.9857930910861467,0.5881600057264748,0.6743620920363234,0.18777748645085676,0.0,-3.0,51.55934933199799,1
0,60.42296072507553,0.8089114912818954,1.4718989217799798,2.162377538595629,3.25723002078193,993,173,0.9870879355926667,0.5828493483417551,0.6664257605446818,0.1928367927626962,0.0,-3.0,52.04242069001473,1
0,60.66734074823054,0.7776383581684382,1.4377035408931274,2.1777998561968066,3.356018384655985,989,168,0.989133766917341,0.587743348431711,0.6922417219752679,0.1884987017446374,0.0,-3.0,49.878188516486524,1
0,60.544904137235115,0.7870182843159202,1.3909504476938002,2.167498933635753,3.2584051551531674,991,161,0.984587377974576,0.5850591446180589,0.6738793807695098,0.17851874434505643,0.0,-3.0,47.612641557107494,1
0,60.60606060606061,0.8250094717513569,1.4408308883554926,2.184816536502246,3.344193681567905,990,159,0.9856396949042003,0.5734933155776936,0.668850347434959,0.18436005146262233,0.0,-3.0,48.27590205232383,1
0,60.851926977687626,0.7695778596257173,1.4536165827120184,2.2043107712294225,3.4541907123105053,986,173,0.9872319209140483,0.5889330731234447,0.6693765028258918,0.1870583762671219,0.0,-3.0,52.810666445353874,1
0,75.37688442211055,0.7917532539884475,1.185824128623934,2.5885527305496803,5.85535135849965,796,162,0.9876712018607583,0.6211672321508449,0.6372642024218391,0.1877539580638789,0.0,-3.0,50.72676683868434,1
0,91.88361408882082,0.5568318735754801,0.32130548451527247,1.5474667888323073,2.7081893874111147,653,152,0.6077153840942248,0.4350301040077923,0.607894742045066,0.1624213478612096,0.0,-3.0,48.54947830102964,1
0,176.99115044247787,0.5524183743600094,0.33226306989679166,0.5242906937851984,-1.1422446848539245,339,121,0.4630926213979635,0.3640308308143931,0.5860419624745216,0.15668829275268467,0.0,-3.0,47.79822164783997,1
0,176.99115044247787,0.5989037428651429,0.3320556807381865,0.5470904355831101,-1.1719054648267044,339,97,0.4953569279376003,0.39892887255493,0.5628493149572326,0.181127940636763,0.0,-3.0,39.97641089234423,1
0,181.8181818181818,0.6753612350655829,0.3572008274543327,0.40637013051866394,-1.3587254928429395,330,59,0.4390389818140019,0.3946011430479701,0.5496905087195807,0.1428689436936418,0.0,-3.0,28.085106337816846,1
0,191.0828025477707,0.610294497496505,0.3311753556595846,0.4822010732511805,-1.1150547531144852,314,0,0.4190038213842808,0.36883480878994407,0.5248630466666062,0.12388220817066552,0.0,0.0,0.0,1
0,180.72289156626505,0.49655600995810384,0.38349554712340905,0.5656587565975691,-1.199037272353575,332,0,0.3449105433838824,0.3017154860444577,0.5150271260598892,0.06644689665758258,0.0,0.0,0.0,1
0,170.94017094017093,0.659276913008436,0.476501694843601,0.6061283674496709,-1.0629492784309986,351,0,0.5747858626295429,0.5213926869546758,0.43150181646395225,0.07284614739699756,0.0,0.0,0.0,1
0,181.2688821752266,0.7448203305773691,0.4914607055484504,0.392720725652965,-1.2932611954372892,331,0,0.4801405829794733,0.44506829149355287,0.4214925411497571,0.0707405889223546,0.0,0.0,0.0,1
0,181.2688821752266,0.7059184422532933,0.4336790633693593,0.5751422945202627,-1.2006022097403155,331,0,0.48896923123127994,0.39540914425162066,0.3756209031147791,0.07724570762136838,0.0,0.0,0.0,1
0,177.5147928994083,0.6124568185134776,0.3943173959672029,0.5873428074925728,-1.0900763147300863,338,0,0.5486134743023056,0.45543610640523763,0.3418936733321339,0.05171863676460445,0.0,0.0,0.0,1
0,189.2744479495268,0.6262787064828079,0.4194033051986205,0.4847405790501132,-1.1565795406865291,317,4,0.8840183098177454,0.6657066536312604,0.40280188407612083,0.052924896977801124,0.0,-3.0,16.403153662348792,1
0,173.91304347826087,0.723245999043468,0.4698685727076788,0.35663945888979814,-1.4128680574428538,345,4,0.7830783350547483,0.6321047218920441,0.47568154594983203,0.053631627297789135,0.0,-3.0,14.96247027268393,1
0,181.2688821752266,0.6202736518717785,0.41852085054289706,0.4633166946153754,-1.157360532845527,331,3,0.8440863414514048,0.5752839755941763,0.5420612284703875,0.03884491930459963,0.0,-3.0,11.231367345533023,1
0,189.2744479495268,0.5762652004295404,0.42407608618241044,0.6090750687547597,-1.0570431717403053,317,27,0.9116640756667522,0.7731314095281944,0.6112158343580703,0.03251393925152782,0.0,-3.0,11.775286926859458,1
0,169.01408450704224,0.7178070130617057,0.4603407644053699,0.367359434769212,-1.4198154466071005,355,1,0.9044061753633352,0.7394230875803338,0.6613368506481709,0.038060824864532876,0.0,-3.0,0.6910258232668877,1
0,180.72289156626505,0.6821046206893695,0.38802148100195605,0.3149546081770165,-1.169988076968934,332,8,0.8886587003536768,0.7284526580296083,0.6970778829748132,0.050943127131851,0.0,-3.0,5.175946018409972,1
0,191.0828025477707,0.6027084694370125,0.33278000787565776,0.14407868967086157,-1.2660597659032546,314,0,0.7023866020757447,0.6103750760338792,0.6648532293029722,0.0428894858070592,0.0,-3.0,0.10672898172186476,1
0,169.4915254237288,0.5780336446502856,0.36600628261168583,0.4712288586494604,-1.2256101163608373,354,4,0.6396490783204699,0.534206725249457,0.5934038722024033,0.04907652249350008,0.0,-3.0,3.2366459276492185,1
0,189.2744479495268,0.5706387380214906,0.33559132973408506,0.35214178186556,-1.090017832064589,317,12,0.6715231911307421,0.5042926888660618,0.5612403079521185,0.04515351325424254,0.0,-3.0,6.470103036070892,1
0,169.97167138810198,0.6270103227881134,0.2667423496265604,0.037749228514689835,-1.3302597151403495,353,0,0.8385377391066567,0.637630873961975,0.5724008361128636,0.028252517385196862,0.0,0.0,0.0,1
0,192.30769230769232,0.4775971062105789,0.2710114794830376,0.6120575165976114,-1.1290187773024625,312,4,0.8572011516750252,0.6029987496213405,0.558595283363584,0.026449147397819138,0.0,-3.0,2.698320948550116,1
0,169.97167138810198,0.5797811782917447,0.2759256105810076,0.23711819233380704,-1.2149118908207504,353,21,0.8618294494852214,0.6440131027324634,0.5734794407664908,0.04634792013043232,0.0,-3.0,12.74976366122094,1
0,181.8181818181818,0.5549698290460285,0.27145810066676873,0.5935123639976994,-1.1201560640448804,330,19,0.8632786340458103,0.6119321324869659,0.620555818310193,0.03417975432332843,0.0,-3.0,11.906456709205969,1
0,180.72289156626505,0.6201439066277322,0.3236614735379691,0.3506857008261867,-1.264473309713184,332,28,0.8589943463892606,0.6381995367599383,0.6710620252399527,0.051024124196853635,0.0,-3.0,15.548081521680034,1
0,177.5147928994083,0.5749286055905873,0.30401862524921464,0.16022810124806863,-1.1661824438386101,338,9,0.8514402474921569,0.5451536464577693,0.7196142547468519,0.02368427164086948,0.0,-3.0,7.228826505291974,1
0,180.72289156626505,0.5567602434187221,0.335479362478011,0.5166688436417908,-1.1918339219584413,332,32,0.7707203779517571,0.6552328553575636,0.711511622062335,0.0555222409543625,0.0,-3.0,21.167514274796996,1
0,194.1747572815534,0.5511964570249052,0.29799309513001004,0.29246935758692943,-0.9648172290511652,309,47,0.7610196734620116,0.6303301470120044,0.7154052925223188,0.06589297454621287,0.0,-3.0,28.229557066505496,1
0,169.4915254237288,0.5284027722177644,0.3003055016544779,0.2821522439702919,-1.5142964951460418,354,34,0.6997629930522891,0.6033666973306113,0.7649192582874509,0.04966569805916755,0.0,-3.0,22.58804776926956,1
0,176.47058823529412,0.5625409810094326,0.266269898737407,0.12550253070318385,-1.207323376798032,340,25,0.812812098279181,0.5815573692216222,0.757179134169829,0.04616042694157778,0.0,-3.0,16.040348747341977,1
0,181.8181818181818,0.5331425408705386,0.26919291184870786,0.27817313360071877,-1.3903578287113743,330,28,0.8137961359845575,0.5978545231290023,0.7730700246303326,0.04464865470321439,0.0,-3.0,24.17151876281565,1
0,181.2688821752266,0.48597765553773403,0.2752214080598227,0.21051904884818398,-1.230920749644648,331,36,0.8147519590138961,0.48744518613525073,0.7382363630350648,0.05735160162569469,0.0,-3.0,22.87229518993728,1
0,178.57142857142858,0.5388932992021237,0.3278918056607282,0.4129830635511041,-1.0662425807810398,336,19,0.8749932614295781,0.6800355352827661,0.7352621012459286,0.05079317572802569,0.0,-3.0,13.644276058326877,1
0,179.64071856287424,0.5610114054041627,0.2967440822145535,0.2801979237723346,-1.1543355858923263,334,0,0.8486431063475502,0.653392621244942,0.7090899787395932,0.06299109442156531,0.0,0.0,0.0,1
0,179.64071856287424,0.5786555832827235,0.2754062749089378,0.4744080121870766,-1.106286093402513,334,0,0.8339997335464537,0.6529955217747037,0.618524216475528,0.044649873656207865,0.0,0.0,0.0,1
0,196.07843137254903,0.546816464581278,0.28180286778357655,0.14364365547486446,-1.0784892848703516,306,0,0.8935906632817253,0.717121409356777,0.5406397594519591,0.02574087205763245,0.0,-3.0,0.4728732959484491,1
0,176.99115044247787,0.4811323416701122,0.31729141091761726,0.3488238484389603,-1.3561612092920496,339,21,0.8516104653040525,0.6288623720006701,0.5262942937572551,0.04956915381733365,0.0,-3.0,11.596158107033913,1
0,87.33624454148472,0.4572243484569968,0.23849897722630778,0.4993676033803723,0.015352971065070165,687,32,0.8917225365132385,0.5969470590412111,0.7219841958003175,0.12411557288893224,0.0,-3.0,17.416985115228655,1
0,179.64071856287424,0.5738553556773979,0.20145286990252093,-0.5827790171999412,-1.1570728991501704,334,18,0.8415456328284885,0.4911635651106057,0.7257232554830922,0.12008505214875015,0.0,-3.0,9.755804866324853,1
0,180.18018018018017,0.5360698036147811,0.20332083529250602,0.2652660562852008,-1.077835370707104,333,28,0.8598449472627804,0.6397671906391932,0.7134645062939818,0.1328153616355014,0.0,-3.0,14.51234045709591,1
0,179.64071856287424,0.4736177883202742,0.22319383534567327,0.10160746504957245,-1.0610154854580713,334,26,0.8738257426806725,0.6028500921492402,0.702907595142312,0.1425191264255953,0.0,-3.0,11.531658492707791,1
0,179.1044776119403,0.43241215745150563,0.22157694788804863,0.14052781568285394,-1.0591577581582363,335,8,0.9016123124185706,0.6773271165078704,0.7118587069889986,0.13206481272332687,0.0,-3.0,6.874751530071325,1
0,90.9090909090909,0.49815480295389264,0.17555211309034569,0.6280055396499947,-0.5979621589617525,660,0,0.8559377793226054,0.6351318470303144,0.6037110118098602,0.09244417986826071,0.0,0.0,0.0,1
0,176.99115044247787,0.4877359049439459,0.2482275900162191,-0.14272950671312779,-1.261012497080183,339,0,0.7628056829626793,0.5478989811950015,0.4991657702962476,0.06156077711273418,0.0,0.0,0.0,1
0,90.09009009009009,0.5026731116957408,0.1951886589279521,-0.06662130874850382,-0.8517765284055745,666,0,0.8805806165378739,0.5933515699865771,0.616990608841435,0.11777880059743577,0.0,0.0,0.0,1
0,182.370820668693,0.6873274280932603,0.26954268470176085,0.48177762926198436,-1.0210601019287606,329,4,0.8387538760066204,0.6563334177534756,0.6610130270535926,0.07774811715923498,0.0,-3.0,4.448144982385623,1
0,89.95502248875562,0.5733435719628384,0.2767643772237698,0.6654003188784512,-0.4260800232571307,667,0,0.9078510606851197,0.7220670625644615,0.640367708258275,0.1012414605102612,0.0,0.0,0.0,1
0,89.68609865470852,0.5855941951972257,0.2316581713174576,0.2679154226240139,-0.6211237851264002,669,0,0.8547112968518573,0.5789632810096287,0.6252759523038696,0.05330408287763639,0.0,0.0,0.0,1
0,181.2688821752266,0.45913422216551525,0.21579702871302342,0.006392310258315752,-1.2318413467325002,331,11,0.7552073650668457,0.47710692447409936,0.6651847359771027,0.04744722565202267,0.0,-3.0,8.201069164599659,1
0,189.873417721519,0.5350706274363352,0.29988101281966006,0.6897036442547255,-0.6553304962354782,316,9,0.7400046199901983,0.4893886736723347,0.6774200493401,0.051563942514262585,0.0,-3.0,7.427669310372268,1
0,169.97167138810198,0.6501576706551254,0.30219880378948066,0.11399794143336689,-1.1609516653725525,353,0,0.8792965331231514,0.5307490505244356,0.5753999873299075,0.0838928147664396,0.0,0.0,0.0,1
0,181.2688821752266,0.5485924912429455,0.3170456428560038,0.1410212763754481,-1.2894469375663862,331,0,0.8871350218588753,0.6710370189540602,0.5506141675944324,0.0727475523705377,0.0,0.0,0.0,1
0,179.1044776119403,0.5942231717433984,0.28440515335232663,-0.13270390304144566,-1.134388048300302,335,0,0.8173074409250494,0.6018437708940644,0.4965689207285018,0.11924217314247895,0.0,0.0,0.0,1
0,185.75851393188856,0.5328186776615736,0.2487361680208793,-0.22489280936660486,-1.2752537212797765,323,0,0.8430223575202321,0.6217211965894234,0.5182361246304436,0.02049109864088585,0.0,0.0,0.0,1
0,203.38983050847457,0.5896355835394888,0.2686814878063893,-0.3458673152276127,-1.4807658041972325,295,0,0.7251461300119063,0.5569166352153602,0.45651623416515996,0.030587461698790664,0.0,0.0,0.0,1
0,87.20930232558139,0.6450115211835681,0.21240347916672273,-0.29203335953614673,-1.18922761143805,688,8,0.8876886117488336,0.5945752348408941,0.5375125009305239,0.13413559851093743,0.0,-3.0,3.7558259008642634,1
0,179.64071856287424,0.5718677327336422,0.23887795946478343,0.22911434578019776,-1.2256931692663908,334,26,0.8876886117488336,0.6478393094209964,0.538587689856701,0.14773905730443349,0.0,-3.0,18.144459467536624,1
0,192.30769230769232,0.5377026540094922,0.27316595543598726,-0.2508333586531169,-1.4399951196351244,312,16,0.7475853988484717,0.5389024788520924,0.5112514115582626,0.16713086583259734,0.0,-3.0,11.499958213652532,1
0,157.06806282722513,0.5870139247487846,0.24182471975944783,-0.5240366361617571,-0.9277985216498292,382,61,0.6715822565201729,0.516473684631759,0.5143332879462023,0.16781382067580472,0.0,-3.0,27.77823976232301,1
0,179.64071856287424,0.5615506221290931,0.29654615892643826,0.15925375997544744,-1.1017802165520685,334,71,0.8799319877299058,0.538302594646751,0.5699675501022166,0.1365407916570503,0.0,-3.0,32.21653729763559,1
0,180.72289156626505,0.6010813444900035,0.30734847414084393,0.11771473849178987,-1.272417842615932,332,49,0.887693640846886,0.6948796001373182,0.6009064150295089,0.11820908459463338,0.0,-3.0,28.115854965499675,1
0,97.24473257698541,0.6061707894046521,0.2539919241210026,-0.3757262433802875,-0.8470917107036922,617,0,0.9038492110006044,0.6762376695360774,0.3953678865029194,0.11658884051431447,0.0,0.0,0.0,1
0,180.18018018018017,0.5501136212243577,0.26061941266660577,-0.3544482997330526,-1.4080494930496015,333,0,0.8942216464284325,0.6859511864929757,0.383614780384707,0.10826237747941336,0.0,0.0,0.0,1
0,168.53932584269663,0.5595170074576631,0.2340803502134345,-0.4430546265339409,-1.2562540935064903,356,22,0.8833130450094525,0.6629190378069708,0.4159824955828173,0.13347598073811703,0.0,-3.0,10.695875012603917,1
0,87.20930232558139,0.5653287866327705,0.20126063787598855,-0.36384448397568725,-1.2885492141827437,688,0,0.8261297848739863,0.5581377269767266,0.565922591597191,0.08870672730702349,0.0,0.0,0.0,1
0,175.43859649122808,0.5985328025602376,0.2846421812555518,0.004140073618932025,-1.2048832946772603,342,0,0.8964382480500538,0.5744897862253501,0.5649859525877475,0.0890084838997744,0.0,0.0,0.0,1
0,181.2688821752266,0.5985768021177973,0.2518882702771269,0.2716643341931143,-1.1692666447105524,331,0,0.9014250106406129,0.6940359400664452,0.5646897841587084,0.08894251567168915,0.0,0.0,0.0,1
0,211.26760563380282,0.5706263004750568,0.22651771896744938,-0.11583092537621784,-1.3882861443227883,284,9,0.8069197004566654,0.650216608696273,0.6803291919433766,0.11827156317539501,0.0,-3.0,4.911723965513874,1
0,156.6579634464752,0.5871119845085313,0.23767280049677456,-0.35672893811541667,-1.2612600668709884,383,16,0.6321374068582125,0.4912415997946672,0.6615590285553452,0.1245043791419995,0.0,-3.0,8.28554444341174,1
0,150.37593984962405,0.55849424775132,0.3333939415542388,0.6431001574611013,-0.8529884164632024,399,0,0.9585587887324964,0.4499216573281726,0.6206345014614609,0.15219576473664642,0.0,0.0,0.0,1
0,86.70520231213872,0.603044482871964,0.36415438721005755,0.8014387409193261,-0.7232809919264467,692,5,0.977460652040776,0.6208294716096978,0.5279257165100679,0.13073416314545214,0.0,-3.0,2.616462948182969,1
0,74.34944237918215,0.7782646619058506,0.6814737604413261,2.436581646750338,5.480213119741103,807,5,0.9675731508251985,0.6246571166342493,0.4816725080068125,0.15407174453898778,0.0,-3.0,2.793343616432745,1
0,38.095238095238095,0.6404295556510633,1.010962007984995,2.3130567424192456,4.0436348934752715,1575,33,0.974084279027437,0.5683861480636121,0.4656192452496643,0.1325487603866226,0.0,-3.0,16.00163438960941,1
0,73.71007371007371,0.8231559997780306,1.2772087883345846,1.8241049343508757,1.826034739930761,814,66,0.9496487280920863,0.5656351539712284,0.5240833940901023,0.09970335218950065,0.0,-3.0,26.348022511228855,1
0,72.11538461538461,0.8695915478031073,1.2616144025420433,1.9256323760722531,2.2382955854876867,832,82,0.9737568267097544,0.563140151015846,0.5668859341359926,0.09256873862690818,0.0,-3.0,30.512564928910813,1
